year,agegroup,pop
2011,0,61953
2011,01-04,238700
2011,05-09,266618
2011,10-14,278494
2011,15-19,305958
2011,20-24,352314
2011,25-29,364067
2011,30-34,354456
2011,35-39,349915
2011,40-44,387914
2011,45-49,390965
2011,50-54,349327
2011,55-59,316601
2011,60-64,341325
2011,65-69,281724
2011,70-74,227097
2011,75-79,195873
2011,80-84,159397
2011,85-89,110125
2011,90+,68456
