year,agegroup,pop
2011,0,73847
2011,01-04,275352
2011,05-09,290152
2011,10-14,289671
2011,15-19,327896
2011,20-24,427397
2011,25-29,451930
2011,30-34,408485
2011,35-39,367612
2011,40-44,382408
2011,45-49,372344
2011,50-54,322754
2011,55-59,278381
2011,60-64,282908
2011,65-69,227890
2011,70-74,192158
2011,75-79,167670
2011,80-84,139087
2011,85-89,96276
2011,90+,58026
