year,agegroup,pop
2011,0,54605
2011,01-04,221252
2011,05-09,265768
2011,10-14,283879
2011,15-19,306266
2011,20-24,293709
2011,25-29,289683
2011,30-34,308012
2011,35-39,340618
2011,40-44,398768
2011,45-49,414603
2011,50-54,370493
2011,55-59,335719
2011,60-64,373979
2011,65-69,311007
2011,70-74,244511
2011,75-79,205657
2011,80-84,165219
2011,85-89,111518
2011,90+,68281
