year,agegroup,pop
2011,0,77865
2011,01-04,288482
2011,05-09,303487
2011,10-14,301938
2011,15-19,337634
2011,20-24,420904
2011,25-29,445918
2011,30-34,421084
2011,35-39,376267
2011,40-44,382701
2011,45-49,370319
2011,50-54,319226
2011,55-59,273288
2011,60-64,273958
2011,65-69,213864
2011,70-74,169283
2011,75-79,132651
2011,80-84,92330
2011,85-89,49681
2011,90+,20064
