year,agegroup,pop
2011,0,88822
2011,01-04,334616
2011,05-09,351431
2011,10-14,335950
2011,15-19,363651
2011,20-24,458921
2011,25-29,487707
2011,30-34,416645
2011,35-39,364601
2011,40-44,372754
2011,45-49,352555
2011,50-54,300515
2011,55-59,250006
2011,60-64,238224
2011,65-69,188588
2011,70-74,168150
2011,75-79,145274
2011,80-84,117641
2011,85-89,78657
2011,90+,45581
