year,agegroup,pop
2011,0,54787
2011,01-04,235926
2011,05-09,301618
2011,10-14,327135
2011,15-19,342137
2011,20-24,279235
2011,25-29,247195
2011,30-34,260447
2011,35-39,324008
2011,40-44,395851
2011,45-49,418695
2011,50-54,374236
2011,55-59,328996
2011,60-64,355178
2011,65-69,289304
2011,70-74,217174
2011,75-79,175982
2011,80-84,121866
2011,85-89,63848
2011,90+,25318
