year,agegroup,pop
2011,0,51983
2011,01-04,223898
2011,05-09,285667
2011,10-14,309151
2011,15-19,319438
2011,20-24,248372
2011,25-29,237916
2011,30-34,276270
2011,35-39,343969
2011,40-44,417721
2011,45-49,435509
2011,50-54,380502
2011,55-59,338010
2011,60-64,373857
2011,65-69,305798
2011,70-74,239057
2011,75-79,202730
2011,80-84,160311
2011,85-89,104222
2011,90+,62267
