year,agegroup,pop
2011,0,57427
2011,01-04,231364
2011,05-09,278067
2011,10-14,299916
2011,15-19,325070
2011,20-24,311038
2011,25-29,295057
2011,30-34,299708
2011,35-39,329524
2011,40-44,386103
2011,45-49,401975
2011,50-54,362642
2011,55-59,325094
2011,60-64,357675
2011,65-69,293833
2011,70-74,223542
2011,75-79,176838
2011,80-84,121685
2011,85-89,64588
2011,90+,26264
