year,agegroup,pop
2011,0,65286
2011,01-04,249493
2011,05-09,279256
2011,10-14,291763
2011,15-19,320711
2011,20-24,364334
2011,25-29,366941
2011,30-34,358343
2011,35-39,350838
2011,40-44,382643
2011,45-49,385911
2011,50-54,342908
2011,55-59,305561
2011,60-64,326879
2011,65-69,266276
2011,70-74,205666
2011,75-79,162359
2011,80-84,112249
2011,85-89,60046
2011,90+,24779
