"DisMod II input and output, database QIMD 2 2011","","","","","","","","","","",""
"Males, Disease: CHD (Rates * ), sex: Males","","","","","","","","","","",""
"Written 05/12/2016, 22:33:11","","","","","","","","","","",""
"Age","Prevalence (rates)","Remission (rates)","Mortality (rates)","Incidence (rates)","Prevalence (rates)","Remission (rates)","Case fatality (rates)","Duration (years)","Mortality (rates)","RR mortality (number)","Age of onset (years)"
"0","0.0037435761","0.0000000000","0.0000174134","0.0000022567","0.0037355882","0.0000000000","0.0048968445","64.5881681630","0.0000182926","2.3519763791","0.5000000000"
"1","0.0034209954","0.0000000000","0.0000157575","0.0000022332","0.0037193009","0.0000000000","0.0048218899","64.0698136256","0.0000179340","3.9014869910","1.5000000000"
"2","0.0019524470","0.0000000000","0.0000082493","0.0000021542","0.0037030981","0.0000000000","0.0046059465","63.4331950087","0.0000170562","14.6036873615","2.5000000000"
"3","0.0003199215","0.0000000000","0.0000000000","0.0000020070","0.0036874187","0.0000000000","0.0042623950","62.7255069911","0.0000157172","47.7248623478","3.5000000000"
"4","0.0000000000","0.0000000000","0.0000000000","0.0000017870","0.0036726408","0.0000000000","0.0038081949","61.9806913176","0.0000139861","76.1200623605","4.5000000000"
"5","0.0000000000","0.0000000000","0.0000000000","0.0000015220","0.0036590705","0.0000000000","0.0032746201","61.2011130139","0.0000119821","69.9945994864","5.5000000000"
"6","0.0000000000","0.0000000000","0.0000000000","0.0000012479","0.0036469288","0.0000000000","0.0026965236","60.3852880402","0.0000098340","46.3580086436","6.5000000000"
"7","0.0000000000","0.0000000000","0.0000000000","0.0000010008","0.0036363505","0.0000000000","0.0021087580","59.5330656485","0.0000076682","27.6534551426","7.5000000000"
"8","0.0001317208","0.0000000000","0.0000008067","0.0000008165","0.0036273832","0.0000000000","0.0015461761","58.6458349148","0.0000056086","17.5887229414","8.5000000000"
"9","0.0002581456","0.0000000000","0.0000016214","0.0000007310","0.0036199875","0.0000000000","0.0010436308","57.7265529386","0.0000037779","11.6367550084","9.5000000000"
"10","0.0002487412","0.0000000000","0.0000016195","0.0000007617","0.0036140212","0.0000000000","0.0006384369","56.7802029089","0.0000023073","7.5322987314","10.5000000000"
"11","0.0001597396","0.0000000000","0.0000010993","0.0000008518","0.0036091684","0.0000000000","0.0003777584","55.8142440832","0.0000013634","4.8718803204","11.5000000000"
"12","0.0000473729","0.0000000000","0.0000003593","0.0000009260","0.0036048644","0.0000000000","0.0003112216","54.8388030451","0.0000011219","4.0109775449","12.5000000000"
"13","0.0000000000","0.0000000000","0.0000000000","0.0000009089","0.0036002741","0.0000000000","0.0004884525","53.8665239230","0.0000017586","5.0349705342","13.5000000000"
"14","0.0000000000","0.0000000000","0.0000000000","0.0000007252","0.0035942856","0.0000000000","0.0009590775","52.9122554323","0.0000034472","7.2764674909","14.5000000000"
"15","0.0000000000","0.0000000000","0.0000000000","0.0000002995","0.0035855059","0.0000000000","0.0017727227","51.9927421920","0.0000063561","9.8921353124","15.5000000000"
"16","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0035725517","0.0000000000","0.0029397175","0.0000000000","0.0000105023","12.4033207512","0.0000000000"
"17","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0035545442","0.0000000000","0.0043132044","0.0000000000","0.0000153315","14.6125581818","0.0000000000"
