"DisMod II input and output, database QIMD 5 2011","","","","","","","","","","",""
"Males, Disease: Stroke (Rates * ), sex: Males","","","","","","","","","","",""
"Written 05/12/2016, 23:26:38","","","","","","","","","","",""
"Age","Prevalence (rates)","Remission (rates)","Mortality (rates)","Incidence (rates)","Prevalence (rates)","Remission (rates)","Case fatality (rates)","Duration (years)","Mortality (rates)","RR mortality (number)","Age of onset (years)"
"0","0.0013","0.0000","0.0000","0.0000","0.0013","0.0000","0.0055","64.5623","0.0000","1.7908","0.5000"
"1","0.0012","0.0000","0.0000","0.0000","0.0013","0.0000","0.0054","64.2367","0.0000","2.7509","1.5000"
"2","0.0006","0.0000","0.0000","0.0000","0.0013","0.0000","0.0052","63.6925","0.0000","9.7352","2.5000"
"3","0.0000","0.0000","0.0000","0.0000","0.0013","0.0000","0.0048","63.0299","0.0000","32.4352","3.5000"
"4","0.0000","0.0000","0.0000","0.0000","0.0013","0.0000","0.0042","62.3179","0.0000","52.1688","4.5000"
"5","0.0000","0.0000","0.0000","0.0000","0.0013","0.0000","0.0036","61.5636","0.0000","47.4876","5.5000"
"6","0.0000","0.0000","0.0000","0.0000","0.0013","0.0000","0.0029","60.7661","0.0000","30.9170","6.5000"
"7","0.0000","0.0000","0.0000","0.0000","0.0013","0.0000","0.0022","59.9263","0.0000","18.2711","7.5000"
"8","0.0001","0.0000","0.0000","0.0000","0.0013","0.0000","0.0016","59.0472","0.0000","11.7715","8.5000"
"9","0.0001","0.0000","0.0000","0.0000","0.0013","0.0000","0.0011","58.1339","0.0000","8.2204","9.5000"
"10","0.0001","0.0000","0.0000","0.0000","0.0013","0.0000","0.0007","57.1942","0.0000","6.0992","10.5000"
"11","0.0001","0.0000","0.0000","0.0000","0.0013","0.0000","0.0005","56.2369","0.0000","4.8219","11.5000"
"12","0.0000","0.0000","0.0000","0.0000","0.0013","0.0000","0.0004","55.2701","0.0000","4.1878","12.5000"
"13","0.0000","0.0000","0.0000","0.0000","0.0013","0.0000","0.0004","54.3010","0.0000","4.0420","13.5000"
"14","0.0000","0.0000","0.0000","0.0000","0.0013","0.0000","0.0005","53.3358","0.0000","4.1803","14.5000"
"15","0.0000","0.0000","0.0000","0.0000","0.0013","0.0000","0.0007","52.3790","0.0000","4.3590","15.5000"
"16","0.0000","0.0000","0.0000","0.0000","0.0013","0.0000","0.0009","0.0000","0.0000","4.4511","0.0000"
"17","0.0000","0.0000","0.0000","0.0000","0.0013","0.0000","0.0012","0.0000","0.0000","4.4679","0.0000"
"18","0.0001","0.0000","0.0000","0.0000","0.0013","0.0000","0.0015","49.5895","0.0000","4.4735","18.5000"
"19","0.0003","0.0000","0.0000","0.0000","0.0013","0.0000","0.0017","48.6901","0.0000","4.4770","19.5000"
"20","0.0006","0.0000","0.0000","0.0000","0.0013","0.0000","0.0020","47.8049","0.0000","4.4731","20.5000"
"21","0.0009","0.0000","0.0000","0.0001","0.0014","0.0000","0.0022","46.9315","0.0000","4.4548","21.5000"
"22","0.0013","0.0000","0.0000","0.0002","0.0015","0.0000","0.0023","46.0669","0.0000","4.4180","22.5000"
"23","0.0017","0.0000","0.0000","0.0002","0.0017","0.0000","0.0024","45.2081","0.0000","4.3750","23.5000"
"24","0.0021","0.0000","0.0000","0.0003","0.0020","0.0000","0.0025","44.3525","0.0000","4.3283","24.5000"
"25","0.0025","0.0000","0.0000","0.0004","0.0024","0.0000","0.0026","43.4981","0.0000","4.2733","25.5000"
"26","0.0030","0.0000","0.0000","0.0005","0.0028","0.0000","0.0026","42.6435","0.0000","4.2033","26.5000"
"27","0.0035","0.0000","0.0000","0.0005","0.0033","0.0000","0.0026","41.7881","0.0000","4.1109","27.5000"
"28","0.0040","0.0000","0.0000","0.0005","0.0039","0.0000","0.0026","40.9319","0.0000","3.9944","28.5000"
"29","0.0045","0.0000","0.0000","0.0005","0.0045","0.0000","0.0027","40.0754","0.0000","3.8705","29.5000"
"30","0.0051","0.0000","0.0000","0.0005","0.0050","0.0000","0.0027","39.2198","0.0000","3.7574","30.5000"
"31","0.0056","0.0000","0.0000","0.0005","0.0056","0.0000","0.0028","38.3667","0.0000","3.6686","31.5000"
"32","0.0060","0.0000","0.0000","0.0005","0.0062","0.0000","0.0030","37.5182","0.0000","3.6131","32.5000"
"33","0.0065","0.0000","0.0000","0.0005","0.0067","0.0000","0.0032","36.6768","0.0000","3.5950","33.5000"
"34","0.0069","0.0000","0.0000","0.0005","0.0073","0.0000","0.0035","35.8455","0.0000","3.6087","34.5000"
"35","0.0073","0.0000","0.0000","0.0005","0.0078","0.0000","0.0039","35.0268","0.0000","3.6301","35.5000"
"36","0.0078","0.0000","0.0000","0.0005","0.0084","0.0000","0.0043","34.2225","0.0000","3.6370","36.5000"
"37","0.0083","0.0000","0.0000","0.0005","0.0090","0.0000","0.0048","33.4336","0.0000","3.6138","37.5000"
"38","0.0089","0.0000","0.0001","0.0006","0.0096","0.0000","0.0052","32.6604","0.0001","3.5536","38.5000"
"39","0.0096","0.0000","0.0001","0.0007","0.0104","0.0000","0.0056","31.9025","0.0001","3.4612","39.5000"
"40","0.0105","0.0000","0.0001","0.0008","0.0112","0.0000","0.0060","31.1587","0.0001","3.3474","40.5000"
"41","0.0116","0.0000","0.0001","0.0009","0.0121","0.0000","0.0063","30.4270","0.0001","3.2267","41.5000"
"42","0.0128","0.0000","0.0001","0.0010","0.0132","0.0000","0.0065","29.7050","0.0001","3.1120","42.5000"
"43","0.0142","0.0000","0.0001","0.0011","0.0144","0.0000","0.0067","28.9899","0.0001","3.0096","43.5000"
"44","0.0158","0.0000","0.0001","0.0013","0.0157","0.0000","0.0068","28.2787","0.0001","2.9123","44.5000"
"45","0.0175","0.0000","0.0001","0.0015","0.0172","0.0000","0.0068","27.5687","0.0001","2.8107","45.5000"
"46","0.0195","0.0000","0.0001","0.0017","0.0189","0.0000","0.0068","26.8576","0.0001","2.6985","46.5000"
"47","0.0215","0.0000","0.0001","0.0019","0.0208","0.0000","0.0068","26.1441","0.0001","2.5753","47.5000"
"48","0.0237","0.0000","0.0001","0.0021","0.0229","0.0000","0.0067","25.4283","0.0002","2.4447","48.5000"
"49","0.0261","0.0000","0.0002","0.0023","0.0252","0.0000","0.0066","24.7109","0.0002","2.3161","49.5000"
"50","0.0286","0.0000","0.0002","0.0025","0.0278","0.0000","0.0065","23.9937","0.0002","2.1981","50.5000"
"51","0.0313","0.0000","0.0002","0.0028","0.0306","0.0000","0.0065","23.2787","0.0002","2.0966","51.5000"
"52","0.0342","0.0000","0.0002","0.0030","0.0336","0.0000","0.0066","22.5682","0.0002","2.0135","52.5000"
"53","0.0373","0.0000","0.0002","0.0032","0.0369","0.0000","0.0068","21.8643","0.0003","1.9448","53.5000"
"54","0.0407","0.0000","0.0003","0.0035","0.0404","0.0000","0.0070","21.1683","0.0003","1.8852","54.5000"
"55","0.0443","0.0000","0.0003","0.0037","0.0441","0.0000","0.0072","20.4807","0.0003","1.8309","55.5000"
"56","0.0483","0.0000","0.0004","0.0039","0.0481","0.0000","0.0073","19.8016","0.0004","1.7792","56.5000"
"57","0.0525","0.0000","0.0004","0.0041","0.0523","0.0000","0.0075","19.1302","0.0004","1.7282","57.5000"
"58","0.0570","0.0000","0.0005","0.0044","0.0567","0.0000","0.0076","18.4652","0.0004","1.6770","58.5000"
"59","0.0619","0.0000","0.0005","0.0046","0.0614","0.0000","0.0076","17.8058","0.0005","1.6274","59.5000"
"60","0.0670","0.0000","0.0005","0.0048","0.0662","0.0000","0.0076","17.1514","0.0005","1.5809","60.5000"
"61","0.0723","0.0000","0.0005","0.0051","0.0713","0.0000","0.0077","16.5024","0.0005","1.5385","61.5000"
"62","0.0777","0.0000","0.0006","0.0053","0.0767","0.0000","0.0078","15.8600","0.0006","1.5011","62.5000"
