"DisMod II input and output, database QIMD 4 2011","","","","","","","","","","",""
"Females, Disease: CHD (Rates * ), sex: Females","","","","","","","","","","",""
"Written 05/12/2016, 23:12:32","","","","","","","","","","",""
"Age","Prevalence (rates)","Remission (rates)","Mortality (rates)","Incidence (rates)","Prevalence (rates)","Remission (rates)","Case fatality (rates)","Duration (years)","Mortality (rates)","RR mortality (number)","Age of onset (years)"
"0","0.0017","0.0000","0.0000","0.0000","0.0017","0.0000","0.0000","67.1784","0.0000","1.0000","0.5000"
"1","0.0015","0.0000","0.0000","0.0000","0.0017","0.0000","0.0000","66.3829","0.0000","1.0002","1.5000"
"2","0.0009","0.0000","0.0000","0.0000","0.0017","0.0000","0.0000","65.4573","0.0000","1.0026","2.5000"
"3","0.0002","0.0000","0.0000","0.0000","0.0017","0.0000","0.0000","64.4718","0.0000","1.0045","3.5000"
"4","0.0000","0.0000","0.0000","0.0000","0.0017","0.0000","0.0000","63.4758","0.0000","0.0000","4.5000"
"5","0.0000","0.0000","0.0000","0.0000","0.0017","0.0000","0.0000","62.4781","0.0000","1.0000","5.5000"
"6","0.0000","0.0000","0.0000","0.0000","0.0017","0.0000","0.0000","61.4803","0.0000","0.0000","6.5000"
"7","0.0000","0.0000","0.0000","0.0000","0.0017","0.0000","0.0000","60.4827","0.0000","1.0000","7.5000"
"8","0.0001","0.0000","0.0000","0.0000","0.0017","0.0000","0.0000","59.4857","0.0000","1.0000","8.5000"
"9","0.0001","0.0000","0.0000","0.0000","0.0017","0.0000","0.0000","58.4891","0.0000","1.0353","9.5000"
"10","0.0001","0.0000","0.0000","0.0000","0.0017","0.0000","0.0000","57.4932","0.0000","1.2265","10.5000"
"11","0.0001","0.0000","0.0000","0.0000","0.0017","0.0000","0.0000","56.4984","0.0000","1.4695","11.5000"
"12","0.0000","0.0000","0.0000","0.0000","0.0017","0.0000","0.0001","55.5052","0.0000","1.7308","12.5000"
"13","0.0000","0.0000","0.0000","0.0000","0.0017","0.0000","0.0001","54.5140","0.0000","1.9590","13.5000"
"14","0.0000","0.0000","0.0000","0.0000","0.0017","0.0000","0.0001","53.5253","0.0000","2.1293","14.5000"
"15","0.0000","0.0000","0.0000","0.0000","0.0017","0.0000","0.0002","52.5397","0.0000","2.2490","15.5000"
"16","0.0000","0.0000","0.0000","0.0000","0.0017","0.0000","0.0002","51.5579","0.0000","2.4071","16.5000"
"17","0.0000","0.0000","0.0000","0.0000","0.0017","0.0000","0.0004","50.5821","0.0000","2.8826","17.5000"
"18","0.0000","0.0000","0.0000","0.0000","0.0017","0.0000","0.0006","49.6169","0.0000","3.9123","18.5000"
"19","0.0000","0.0000","0.0000","0.0000","0.0017","0.0000","0.0011","48.6696","0.0000","5.7188","19.5000"
"20","0.0000","0.0000","0.0000","0.0000","0.0017","0.0000","0.0018","47.7500","0.0000","8.5759","20.5000"
"21","0.0000","0.0000","0.0000","0.0000","0.0017","0.0000","0.0028","46.8705","0.0000","12.8197","21.5000"
"22","0.0000","0.0000","0.0000","0.0000","0.0017","0.0000","0.0042","0.0000","0.0000","18.6662","0.0000"
"23","0.0000","0.0000","0.0000","0.0000","0.0017","0.0000","0.0058","0.0000","0.0000","25.6782","0.0000"
"24","0.0000","0.0000","0.0000","0.0000","0.0016","0.0000","0.0075","0.0000","0.0000","33.1007","0.0000"
"25","0.0000","0.0000","0.0000","0.0000","0.0016","0.0000","0.0092","0.0000","0.0000","39.9426","0.0000"
"26","0.0000","0.0000","0.0000","0.0000","0.0016","0.0000","0.0106","0.0000","0.0000","45.0282","0.0000"
"27","0.0000","0.0000","0.0000","0.0000","0.0016","0.0000","0.0117","42.9054","0.0000","47.1934","27.5000"
"28","0.0000","0.0000","0.0000","0.0000","0.0016","0.0000","0.0122","42.4253","0.0000","45.8660","28.5000"
"29","0.0000","0.0000","0.0000","0.0000","0.0016","0.0000","0.0124","41.9560","0.0000","41.9783","29.5000"
"30","0.0000","0.0000","0.0000","0.0000","0.0015","0.0000","0.0122","41.4808","0.0000","36.7853","30.5000"
"31","0.0000","0.0000","0.0000","0.0000","0.0015","0.0000","0.0117","40.9868","0.0000","31.3005","31.5000"
"32","0.0000","0.0000","0.0000","0.0000","0.0015","0.0000","0.0110","40.4643","0.0000","26.1973","32.5000"
"33","0.0001","0.0000","0.0000","0.0001","0.0016","0.0000","0.0102","39.9069","0.0000","21.7985","33.5000"
"34","0.0002","0.0000","0.0000","0.0001","0.0016","0.0000","0.0093","39.3115","0.0000","18.0862","34.5000"
"35","0.0005","0.0000","0.0000","0.0001","0.0017","0.0000","0.0084","38.6773","0.0000","14.9603","35.5000"
"36","0.0009","0.0000","0.0000","0.0002","0.0018","0.0000","0.0075","38.0056","0.0000","12.3428","36.5000"
"37","0.0015","0.0000","0.0000","0.0003","0.0020","0.0000","0.0067","37.2992","0.0000","10.1801","37.5000"
"38","0.0023","0.0000","0.0000","0.0004","0.0024","0.0000","0.0060","36.5629","0.0000","8.4396","38.5000"
"39","0.0034","0.0000","0.0000","0.0006","0.0028","0.0000","0.0055","35.8024","0.0000","7.1112","39.5000"
"40","0.0046","0.0000","0.0000","0.0008","0.0035","0.0000","0.0052","35.0247","0.0000","6.1588","40.5000"
"41","0.0058","0.0000","0.0000","0.0010","0.0044","0.0000","0.0050","34.2366","0.0000","5.4940","41.5000"
"42","0.0071","0.0000","0.0000","0.0012","0.0056","0.0000","0.0049","33.4432","0.0000","5.0363","42.5000"
"43","0.0084","0.0000","0.0000","0.0014","0.0070","0.0000","0.0050","32.6486","0.0000","4.7222","43.5000"
"44","0.0096","0.0000","0.0000","0.0016","0.0086","0.0000","0.0051","31.8550","0.0000","4.4941","44.5000"
"45","0.0109","0.0000","0.0001","0.0017","0.0104","0.0000","0.0052","31.0639","0.0001","4.3074","45.5000"
"46","0.0122","0.0000","0.0001","0.0016","0.0123","0.0000","0.0054","30.2756","0.0001","4.1320","46.5000"
"47","0.0135","0.0000","0.0001","0.0016","0.0141","0.0000","0.0055","29.4903","0.0001","3.9583","47.5000"
"48","0.0150","0.0000","0.0001","0.0015","0.0159","0.0000","0.0057","28.7082","0.0001","3.7836","48.5000"
"49","0.0166","0.0000","0.0001","0.0014","0.0177","0.0000","0.0059","27.9297","0.0001","3.6122","49.5000"
"50","0.0184","0.0000","0.0001","0.0014","0.0194","0.0000","0.0060","27.1553","0.0001","3.4492","50.5000"
"51","0.0206","0.0000","0.0001","0.0016","0.0213","0.0000","0.0062","26.3853","0.0001","3.2981","51.5000"
