"DisMod II input and output, database QIMD 3 2011","","","","","","","","","","",""
"Males, Disease: CHD (Rates * ), sex: Males","","","","","","","","","","",""
"Written 05/12/2016, 22:55:31","","","","","","","","","","",""
"Age","Prevalence (rates)","Remission (rates)","Mortality (rates)","Incidence (rates)","Prevalence (rates)","Remission (rates)","Case fatality (rates)","Duration (years)","Mortality (rates)","RR mortality (number)","Age of onset (years)"
"0","0.0024","0.0000","0.0000","0.0000","0.0024","0.0000","0.0166","39.6977","0.0000","4.4808","0.5000"
"1","0.0022","0.0000","0.0000","0.0000","0.0024","0.0000","0.0163","39.4865","0.0000","8.2467","1.5000"
"2","0.0012","0.0000","0.0000","0.0000","0.0023","0.0000","0.0155","39.1654","0.0000","33.1389","2.5000"
"3","0.0001","0.0000","0.0000","0.0000","0.0023","0.0000","0.0143","38.7572","0.0000","108.1881","3.5000"
"4","0.0000","0.0000","0.0000","0.0000","0.0022","0.0000","0.0126","38.2778","0.0000","175.9772","4.5000"
"5","0.0000","0.0000","0.0000","0.0000","0.0022","0.0000","0.0106","37.7205","0.0000","169.4430","5.5000"
"6","0.0000","0.0000","0.0000","0.0000","0.0022","0.0000","0.0085","37.0795","0.0000","119.0388","6.5000"
"7","0.0000","0.0000","0.0000","0.0000","0.0022","0.0000","0.0064","36.3546","0.0000","74.9807","7.5000"
"8","0.0002","0.0000","0.0000","0.0000","0.0021","0.0000","0.0044","35.5509","0.0000","49.3182","8.5000"
"9","0.0003","0.0000","0.0000","0.0000","0.0021","0.0000","0.0027","34.6791","0.0000","32.6051","9.5000"
"10","0.0003","0.0000","0.0000","0.0000","0.0021","0.0000","0.0015","33.7544","0.0000","19.9941","10.5000"
"11","0.0002","0.0000","0.0000","0.0000","0.0021","0.0000","0.0007","32.7931","0.0000","10.0624","11.5000"
"12","0.0001","0.0000","0.0000","0.0000","0.0021","0.0000","0.0002","31.8093","0.0000","3.4212","12.5000"
"13","0.0001","0.0000","0.0000","0.0000","0.0021","0.0000","0.0000","30.8147","0.0000","1.0000","13.5000"
"14","0.0001","0.0000","0.0000","0.0000","0.0021","0.0000","0.0000","29.8180","0.0000","1.0994","14.5000"
"15","0.0001","0.0000","0.0000","0.0000","0.0021","0.0000","0.0002","28.8251","0.0000","2.3664","15.5000"
"16","0.0001","0.0000","0.0000","0.0000","0.0021","0.0000","0.0005","27.8405","0.0000","3.4504","16.5000"
"17","0.0002","0.0000","0.0000","0.0000","0.0021","0.0000","0.0008","0.0000","0.0000","4.0299","0.0000"
"18","0.0002","0.0000","0.0000","0.0000","0.0020","0.0000","0.0010","0.0000","0.0000","4.2035","0.0000"
"19","0.0002","0.0000","0.0000","0.0000","0.0020","0.0000","0.0011","0.0000","0.0000","3.9336","0.0000"
"20","0.0002","0.0000","0.0000","0.0000","0.0020","0.0000","0.0008","0.0000","0.0000","3.0197","0.0000"
