"DisMod II input and output, database QIMD 5 2011","","","","","","","","","","",""
"Males, Disease: CHD (Rates * ), sex: Males","","","","","","","","","","",""
"Written 05/12/2016, 23:21:03","","","","","","","","","","",""
"Age","Prevalence (rates)","Remission (rates)","Mortality (rates)","Incidence (rates)","Prevalence (rates)","Remission (rates)","Case fatality (rates)","Duration (years)","Mortality (rates)","RR mortality (number)","Age of onset (years)"
"0","0.0038","0.0000","0.0000","0.0000","0.0038","0.0000","0.0000","33.0298","0.0000","1.0004","0.5000"
"1","0.0035","0.0000","0.0000","0.0000","0.0038","0.0000","0.0000","32.1941","0.0000","1.0000","1.5000"
"2","0.0019","0.0000","0.0000","0.0000","0.0038","0.0000","0.0000","31.2529","0.0000","0.0000","2.5000"
"3","0.0002","0.0000","0.0000","0.0000","0.0038","0.0000","0.0000","30.2646","0.0000","1.1008","3.5000"
"4","0.0000","0.0000","0.0000","0.0000","0.0038","0.0000","0.0002","29.2711","0.0000","3.2566","4.5000"
"5","0.0000","0.0000","0.0000","0.0000","0.0038","0.0000","0.0004","28.2819","0.0000","6.3895","5.5000"
"6","0.0000","0.0000","0.0000","0.0000","0.0038","0.0000","0.0006","27.2985","0.0000","7.3768","6.5000"
"7","0.0000","0.0000","0.0000","0.0000","0.0038","0.0000","0.0007","26.3191","0.0000","6.5076","7.5000"
"8","0.0001","0.0000","0.0000","0.0000","0.0038","0.0000","0.0006","25.3393","0.0000","5.0385","8.5000"
"9","0.0003","0.0000","0.0000","0.0000","0.0038","0.0000","0.0002","24.3530","0.0000","2.3677","9.5000"
"10","0.0003","0.0000","0.0000","0.0000","0.0038","0.0000","0.0000","23.3589","0.0000","1.0000","10.5000"
"11","0.0002","0.0000","0.0000","0.0000","0.0038","0.0000","0.0000","22.3621","0.0000","1.0000","11.5000"
"12","0.0001","0.0000","0.0000","0.0000","0.0038","0.0000","0.0006","21.3719","0.0000","5.9178","12.5000"
"13","0.0000","0.0000","0.0000","0.0000","0.0038","0.0000","0.0040","20.4223","0.0000","28.6623","13.5000"
"14","0.0000","0.0000","0.0000","0.0000","0.0038","0.0000","0.0103","19.5666","0.0000","61.4064","14.5000"
"15","0.0000","0.0000","0.0000","0.0000","0.0038","0.0000","0.0204","18.8628","0.0001","97.0397","15.5000"
"16","0.0000","0.0000","0.0000","0.0000","0.0036","0.0000","0.0348","0.0000","0.0001","129.0089","0.0000"
"17","0.0000","0.0000","0.0000","0.0000","0.0035","0.0000","0.0517","0.0000","0.0002","151.4755","0.0000"
"18","0.0000","0.0000","0.0000","0.0000","0.0033","0.0000","0.0692","0.0000","0.0002","165.5897","0.0000"
"19","0.0000","0.0000","0.0000","0.0000","0.0030","0.0000","0.0852","0.0000","0.0003","172.6102","0.0000"
"20","0.0000","0.0000","0.0000","0.0000","0.0027","0.0000","0.0977","0.0000","0.0003","173.0041","0.0000"
"21","0.0000","0.0000","0.0000","0.0000","0.0024","0.0000","0.1045","20.4748","0.0003","166.6513","21.5000"
"22","0.0000","0.0000","0.0000","0.0000","0.0022","0.0000","0.1044","21.6851","0.0002","153.6675","22.5000"
"23","0.0000","0.0000","0.0000","0.0000","0.0019","0.0000","0.0985","22.9602","0.0002","136.7509","23.5000"
"24","0.0001","0.0000","0.0000","0.0000","0.0017","0.0000","0.0887","24.1792","0.0002","117.9664","24.5000"
"25","0.0001","0.0000","0.0000","0.0000","0.0016","0.0000","0.0768","25.2395","0.0001","98.8252","25.5000"
"26","0.0001","0.0000","0.0000","0.0000","0.0014","0.0000","0.0648","26.0736","0.0001","80.8313","26.5000"
"27","0.0001","0.0000","0.0000","0.0000","0.0013","0.0000","0.0544","26.6640","0.0001","65.6326","27.5000"
"28","0.0000","0.0000","0.0000","0.0000","0.0012","0.0000","0.0471","0.0000","0.0001","54.4814","0.0000"
"29","0.0000","0.0000","0.0000","0.0000","0.0011","0.0000","0.0425","0.0000","0.0000","46.7755","0.0000"
"30","0.0000","0.0000","0.0000","0.0000","0.0010","0.0000","0.0400","27.4415","0.0000","41.4507","30.5000"
