"DisMod II input and output, database QIMD 1 2011 affluent","","","","","","","","","","",""
"Males, Disease: Stroke (Rates * ), sex: Males","","","","","","","","","","",""
"Written 05/12/2016, 22:24:11","","","","","","","","","","",""
"Age","Prevalence (rates)","Remission (rates)","Mortality (rates)","Incidence (rates)","Prevalence (rates)","Remission (rates)","Case fatality (rates)","Duration (years)","Mortality (rates)","RR mortality (number)","Age of onset (years)"
"50","0.0125","0.0000","0.0001","0.0009","0.0120","0.0000","0.0053","27.7536","0.0001","3.8085","50.5000"
"51","0.0136","0.0000","0.0001","0.0009","0.0131","0.0000","0.0043","26.9368","0.0001","3.0542","51.5000"
"52","0.0146","0.0000","0.0001","0.0009","0.0142","0.0000","0.0038","26.1004","0.0001","2.6535","52.5000"
"53","0.0156","0.0000","0.0001","0.0009","0.0153","0.0000","0.0038","25.2589","0.0001","2.5078","53.5000"
"54","0.0166","0.0000","0.0001","0.0009","0.0164","0.0000","0.0042","24.4233","0.0001","2.5026","54.5000"
"55","0.0175","0.0000","0.0001","0.0009","0.0175","0.0000","0.0048","23.6003","0.0001","2.5544","55.5000"
"56","0.0186","0.0000","0.0001","0.0009","0.0186","0.0000","0.0055","22.7925","0.0001","2.6039","56.5000"
"57","0.0197","0.0000","0.0001","0.0009","0.0197","0.0000","0.0061","21.9994","0.0001","2.6108","57.5000"
"58","0.0209","0.0000","0.0001","0.0010","0.0209","0.0000","0.0065","21.2178","0.0001","2.5575","58.5000"
"59","0.0223","0.0000","0.0002","0.0011","0.0222","0.0000","0.0067","20.4438","0.0001","2.4645","59.5000"
"60","0.0239","0.0000","0.0002","0.0013","0.0235","0.0000","0.0069","19.6746","0.0002","2.3545","60.5000"
"61","0.0255","0.0000","0.0002","0.0014","0.0250","0.0000","0.0070","18.9086","0.0002","2.2438","61.5000"
"62","0.0273","0.0000","0.0002","0.0016","0.0267","0.0000","0.0071","18.1454","0.0002","2.1434","62.5000"
"63","0.0291","0.0000","0.0002","0.0018","0.0285","0.0000","0.0073","17.3854","0.0002","2.0604","63.5000"
"64","0.0309","0.0000","0.0002","0.0019","0.0305","0.0000","0.0075","16.6297","0.0002","1.9967","64.5000"
"65","0.0327","0.0000","0.0003","0.0021","0.0326","0.0000","0.0079","15.8801","0.0003","1.9486","65.5000"
"66","0.0347","0.0000","0.0003","0.0022","0.0348","0.0000","0.0084","15.1385","0.0003","1.9120","66.5000"
"67","0.0367","0.0000","0.0003","0.0023","0.0371","0.0000","0.0091","14.4066","0.0003","1.8833","67.5000"
"68","0.0387","0.0000","0.0004","0.0025","0.0396","0.0000","0.0098","13.6865","0.0004","1.8593","68.5000"
"69","0.0409","0.0000","0.0005","0.0026","0.0421","0.0000","0.0108","12.9802","0.0005","1.8392","69.5000"
"70","0.0431","0.0000","0.0005","0.0028","0.0447","0.0000","0.0119","12.2894","0.0005","1.8226","70.5000"
"71","0.0454","0.0000","0.0006","0.0029","0.0474","0.0000","0.0132","11.6157","0.0006","1.8104","71.5000"
"72","0.0477","0.0000","0.0008","0.0031","0.0502","0.0000","0.0147","10.9602","0.0007","1.8032","72.5000"
"73","0.0500","0.0000","0.0009","0.0033","0.0530","0.0000","0.0165","10.3240","0.0009","1.8012","73.5000"
"74","0.0525","0.0000","0.0011","0.0035","0.0559","0.0000","0.0185","9.7078","0.0010","1.8037","74.5000"
"75","0.0549","0.0000","0.0014","0.0037","0.0588","0.0000","0.0209","9.1123","0.0012","1.8095","75.5000"
"76","0.0575","0.0000","0.0016","0.0039","0.0618","0.0000","0.0236","8.5378","0.0015","1.8176","76.5000"
"77","0.0602","0.0000","0.0019","0.0042","0.0648","0.0000","0.0267","7.9846","0.0017","1.8266","77.5000"
"78","0.0630","0.0000","0.0022","0.0044","0.0677","0.0000","0.0302","7.4528","0.0020","1.8348","78.5000"
"79","0.0659","0.0000","0.0026","0.0048","0.0707","0.0000","0.0340","6.9426","0.0024","1.8391","79.5000"
"80","0.0688","0.0000","0.0030","0.0052","0.0736","0.0000","0.0382","6.4549","0.0028","1.8362","80.5000"
"81","0.0717","0.0000","0.0034","0.0056","0.0765","0.0000","0.0429","5.9918","0.0033","1.8228","81.5000"
"82","0.0745","0.0000","0.0040","0.0061","0.0794","0.0000","0.0480","5.5569","0.0038","1.7975","82.5000"
"83","0.0772","0.0000","0.0046","0.0067","0.0822","0.0000","0.0539","5.1564","0.0044","1.7639","83.5000"
"84","0.0797","0.0000","0.0054","0.0074","0.0850","0.0000","0.0607","4.7968","0.0052","1.7352","84.5000"
"85","0.0819","0.0000","0.0064","0.0082","0.0878","0.0000","0.0688","4.4818","0.0060","1.7235","85.5000"
"86","0.0840","0.0000","0.0075","0.0091","0.0903","0.0000","0.0785","4.2086","0.0071","1.7406","86.5000"
"87","0.0858","0.0000","0.0089","0.0101","0.0927","0.0000","0.0900","3.9665","0.0083","1.8010","87.5000"
"88","0.0875","0.0000","0.0106","0.0113","0.0948","0.0000","0.1033","3.7342","0.0098","1.9269","88.5000"
"89","0.0888","0.0000","0.0125","0.0124","0.0964","0.0000","0.1171","3.4786","0.0113","2.1510","89.5000"
"90","0.0900","0.0000","0.0146","0.0133","0.0977","0.0000","0.1298","3.2546","0.0127","1.9352","90.5000"
"91","0.0909","0.0000","0.0166","0.0139","0.0984","0.0000","0.1397","3.1045","0.0138","1.9091","91.5000"
"92","0.0915","0.0000","0.0184","0.0141","0.0987","0.0000","0.1453","2.9876","0.0143","1.8542","92.5000"
"93","0.0919","0.0000","0.0199","0.0137","0.0986","0.0000","0.1449","2.8986","0.0143","1.7703","93.5000"
"94","0.0920","0.0000","0.0210","0.0126","0.0981","0.0000","0.1374","2.8294","0.0135","1.6611","94.5000"
"95","0.0919","0.0000","0.0216","0.0109","0.0973","0.0000","0.1239","2.7713","0.0121","1.5401","95.5000"
"96","0.0916","0.0000","0.0214","0.0088","0.0963","0.0000","0.1060","2.7182","0.0102","1.4191","96.5000"
"97","0.0913","0.0000","0.0200","0.0065","0.0950","0.0000","0.0854","2.6669","0.0081","1.3064","97.5000"
"98","0.0910","0.0000","0.0168","0.0042","0.0935","0.0000","0.0636","2.6182","0.0059","1.2073","98.5000"
"99","0.0908","0.0000","0.0109","0.0019","0.0917","0.0000","0.0422","2.5784","0.0039","1.1253","99.5000"
"100+","0.0907","0.0000","0.0015","0.0000","0.0899","0.0000","0.0229","2.5611","0.0021","1.0619","102.2054"
"","","","","","","","","","","",""
"All ages","0.0150","NA","0.0004","0.0011","0.0155","0.0000","0.0264","14.4256","0.0004","185.2503","68.9285"
