"DisMod II input and output, database QIMD 4 2011","","","","","","","","","","",""
"Females, Disease: Stroke (Rates * ), sex: Females","","","","","","","","","","",""
"Written 05/12/2016, 23:17:07","","","","","","","","","","",""
"Age","Prevalence (rates)","Remission (rates)","Mortality (rates)","Incidence (rates)","Prevalence (rates)","Remission (rates)","Case fatality (rates)","Duration (years)","Mortality (rates)","RR mortality (number)","Age of onset (years)"
"0","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0214","61.4883","0.0000","6.0704","0.5000"
"1","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0212","61.9923","0.0000","12.2048","1.5000"
"2","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0205","62.3571","0.0000","58.2683","2.5000"
"3","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0193","62.6145","0.0000","227.5665","3.5000"
"4","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0178","62.7826","0.0000","438.1318","4.5000"
"5","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0160","62.8459","0.0000","489.9776","5.5000"
"6","0.0000","0.0000","0.0000","0.0000","0.0001","0.0000","0.0140","62.7891","0.0000","388.5432","6.5000"
"7","0.0001","0.0000","0.0000","0.0000","0.0001","0.0000","0.0119","62.6034","0.0000","266.9157","7.5000"
"8","0.0001","0.0000","0.0000","0.0000","0.0001","0.0000","0.0099","62.2876","0.0000","186.9793","8.5000"
"9","0.0002","0.0000","0.0000","0.0001","0.0002","0.0000","0.0080","61.8478","0.0000","135.4833","9.5000"
"10","0.0003","0.0000","0.0000","0.0001","0.0003","0.0000","0.0064","61.2971","0.0000","99.5549","10.5000"
"11","0.0004","0.0000","0.0000","0.0001","0.0003","0.0000","0.0051","60.6518","0.0000","72.3310","11.5000"
"12","0.0005","0.0000","0.0000","0.0001","0.0004","0.0000","0.0039","59.9279","0.0000","50.5854","12.5000"
"13","0.0006","0.0000","0.0000","0.0001","0.0005","0.0000","0.0030","59.1399","0.0000","33.4689","13.5000"
"14","0.0007","0.0000","0.0000","0.0001","0.0006","0.0000","0.0023","58.3010","0.0000","21.2993","14.5000"
"15","0.0008","0.0000","0.0000","0.0001","0.0008","0.0000","0.0017","57.4227","0.0000","13.4032","15.5000"
"16","0.0009","0.0000","0.0000","0.0001","0.0009","0.0000","0.0013","56.5150","0.0000","8.6092","16.5000"
"17","0.0011","0.0000","0.0000","0.0001","0.0011","0.0000","0.0009","55.5862","0.0000","5.8518","17.5000"
"18","0.0012","0.0000","0.0000","0.0001","0.0012","0.0000","0.0007","54.6428","0.0000","4.3434","18.5000"
"19","0.0013","0.0000","0.0000","0.0001","0.0014","0.0000","0.0006","53.6901","0.0000","3.5538","19.5000"
"20","0.0014","0.0000","0.0000","0.0001","0.0016","0.0000","0.0005","52.7319","0.0000","3.1913","20.5000"
"21","0.0016","0.0000","0.0000","0.0001","0.0017","0.0000","0.0005","51.7709","0.0000","3.0904","21.5000"
"22","0.0017","0.0000","0.0000","0.0001","0.0019","0.0000","0.0005","50.8092","0.0000","3.1497","22.5000"
"23","0.0019","0.0000","0.0000","0.0001","0.0021","0.0000","0.0006","49.8478","0.0000","3.3286","23.5000"
"24","0.0021","0.0000","0.0000","0.0001","0.0022","0.0000","0.0006","48.8880","0.0000","3.5994","24.5000"
"25","0.0023","0.0000","0.0000","0.0001","0.0024","0.0000","0.0007","47.9308","0.0000","3.9264","25.5000"
"26","0.0025","0.0000","0.0000","0.0001","0.0025","0.0000","0.0008","46.9769","0.0000","4.2610","26.5000"
"27","0.0027","0.0000","0.0000","0.0001","0.0027","0.0000","0.0009","46.0273","0.0000","4.5420","27.5000"
"28","0.0029","0.0000","0.0000","0.0001","0.0028","0.0000","0.0010","45.0825","0.0000","4.7145","28.5000"
"29","0.0030","0.0000","0.0000","0.0002","0.0030","0.0000","0.0011","44.1433","0.0000","4.7776","29.5000"
"30","0.0032","0.0000","0.0000","0.0002","0.0033","0.0000","0.0013","43.2099","0.0000","4.7567","30.5000"
"31","0.0034","0.0000","0.0000","0.0002","0.0035","0.0000","0.0014","42.2829","0.0000","4.6850","31.5000"
"32","0.0037","0.0000","0.0000","0.0003","0.0038","0.0000","0.0016","41.3623","0.0000","4.5976","32.5000"
"33","0.0040","0.0000","0.0000","0.0003","0.0042","0.0000","0.0017","40.4481","0.0000","4.5205","33.5000"
"34","0.0044","0.0000","0.0000","0.0003","0.0046","0.0000","0.0019","39.5402","0.0000","4.4537","34.5000"
"35","0.0048","0.0000","0.0000","0.0004","0.0050","0.0000","0.0020","38.6386","0.0000","4.4023","35.5000"
"36","0.0052","0.0000","0.0000","0.0004","0.0055","0.0000","0.0022","37.7438","0.0000","4.3695","36.5000"
"37","0.0057","0.0000","0.0000","0.0005","0.0060","0.0000","0.0025","36.8566","0.0000","4.3536","37.5000"
"38","0.0062","0.0000","0.0000","0.0005","0.0065","0.0000","0.0027","35.9783","0.0000","4.3519","38.5000"
"39","0.0067","0.0000","0.0000","0.0005","0.0071","0.0000","0.0030","35.1104","0.0000","4.3707","39.5000"
"40","0.0072","0.0000","0.0000","0.0006","0.0077","0.0000","0.0034","34.2545","0.0000","4.4117","40.5000"
"41","0.0078","0.0000","0.0000","0.0006","0.0084","0.0000","0.0038","33.4120","0.0000","4.4568","41.5000"
"42","0.0085","0.0000","0.0000","0.0006","0.0090","0.0000","0.0043","32.5831","0.0000","4.4930","42.5000"
"43","0.0092","0.0000","0.0001","0.0006","0.0098","0.0000","0.0047","31.7674","0.0000","4.5120","43.5000"
"44","0.0100","0.0000","0.0001","0.0007","0.0105","0.0000","0.0051","30.9635","0.0001","4.4994","44.5000"
"45","0.0109","0.0000","0.0001","0.0007","0.0113","0.0000","0.0055","30.1695","0.0001","4.4412","45.5000"
"46","0.0118","0.0000","0.0001","0.0007","0.0120","0.0000","0.0057","29.3831","0.0001","4.3292","46.5000"
"47","0.0127","0.0000","0.0001","0.0007","0.0128","0.0000","0.0059","28.6021","0.0001","4.1684","47.5000"
"48","0.0136","0.0000","0.0001","0.0007","0.0136","0.0000","0.0061","27.8243","0.0001","3.9676","48.5000"
"49","0.0145","0.0000","0.0001","0.0008","0.0145","0.0000","0.0061","27.0484","0.0001","3.7421","49.5000"
"50","0.0155","0.0000","0.0001","0.0008","0.0154","0.0000","0.0062","26.2730","0.0001","3.5060","50.5000"
"51","0.0166","0.0000","0.0001","0.0010","0.0164","0.0000","0.0062","25.4970","0.0001","3.2705","51.5000"
"52","0.0180","0.0000","0.0001","0.0011","0.0176","0.0000","0.0061","24.7196","0.0001","3.0446","52.5000"
"53","0.0196","0.0000","0.0001","0.0013","0.0189","0.0000","0.0060","23.9403","0.0001","2.8369","53.5000"
"54","0.0215","0.0000","0.0001","0.0015","0.0204","0.0000","0.0059","23.1589","0.0001","2.6521","54.5000"
"55","0.0236","0.0000","0.0001","0.0017","0.0221","0.0000","0.0059","22.3758","0.0001","2.4924","55.5000"
"56","0.0256","0.0000","0.0001","0.0018","0.0240","0.0000","0.0058","21.5918","0.0001","2.3587","56.5000"
"57","0.0276","0.0000","0.0001","0.0019","0.0260","0.0000","0.0059","20.8082","0.0002","2.2510","57.5000"
"58","0.0293","0.0000","0.0002","0.0019","0.0281","0.0000","0.0060","20.0261","0.0002","2.1679","58.5000"
"59","0.0307","0.0000","0.0002","0.0018","0.0301","0.0000","0.0062","19.2474","0.0002","2.1061","59.5000"
"60","0.0319","0.0000","0.0002","0.0017","0.0320","0.0000","0.0065","18.4736","0.0002","2.0617","60.5000"
