"DisMod II input and output, database QIMD 3 2011","","","","","","","","","","",""
"Females, Disease: Stroke (Rates * ), sex: Females","","","","","","","","","","",""
"Written 05/12/2016, 23:01:36","","","","","","","","","","",""
"Age","Prevalence (rates)","Remission (rates)","Mortality (rates)","Incidence (rates)","Prevalence (rates)","Remission (rates)","Case fatality (rates)","Duration (years)","Mortality (rates)","RR mortality (number)","Age of onset (years)"
"0","0.0004","0.0000","0.0000","0.0000","0.0003","0.0000","1.2289","0.8586","0.0003","343.9415","0.5000"
"1","0.0004","0.0000","0.0000","0.0000","0.0001","0.0000","1.2090","0.9570","0.0001","702.0940","1.5000"
"2","0.0002","0.0000","0.0000","0.0000","0.0000","0.0000","1.1505","1.2126","0.0000","3050.4359","2.5000"
"3","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","1.0552","1.8347","0.0000","10478.4933","3.5000"
"4","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.9267","3.2277","0.0000","18555.7330","4.5000"
"5","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.7755","5.9513","0.0000","19509.1765","5.5000"
"6","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.6135","10.4104","0.0000","14339.1691","6.5000"
"7","0.0001","0.0000","0.0000","0.0000","0.0000","0.0000","0.4531","16.3389","0.0000","8629.5830","7.5000"
"8","0.0001","0.0000","0.0000","0.0000","0.0000","0.0000","0.3062","22.5903","0.0000","4803.8472","8.5000"
"9","0.0001","0.0000","0.0000","0.0000","0.0000","0.0000","0.1851","27.7012","0.0000","2475.1056","9.5000"
"10","0.0001","0.0000","0.0000","0.0000","0.0000","0.0000","0.0987","30.8349","0.0000","1157.8127","10.5000"
"11","0.0001","0.0000","0.0000","0.0000","0.0001","0.0000","0.0436","32.0729","0.0000","459.3303","11.5000"
"12","0.0001","0.0000","0.0000","0.0000","0.0001","0.0000","0.0132","31.9884","0.0000","127.9958","12.5000"
"13","0.0001","0.0000","0.0000","0.0000","0.0001","0.0000","0.0011","31.2201","0.0000","10.7232","13.5000"
"14","0.0001","0.0000","0.0000","0.0000","0.0001","0.0000","0.0006","30.2505","0.0000","6.2281","14.5000"
"15","0.0001","0.0000","0.0000","0.0000","0.0001","0.0000","0.0053","29.3418","0.0000","42.0671","15.5000"
"16","0.0002","0.0000","0.0000","0.0000","0.0001","0.0000","0.0096","28.5610","0.0000","71.6409","16.5000"
"17","0.0002","0.0000","0.0000","0.0000","0.0001","0.0000","0.0127","27.8797","0.0000","89.3224","17.5000"
"18","0.0002","0.0000","0.0000","0.0000","0.0001","0.0000","0.0147","27.2611","0.0000","97.8522","18.5000"
"19","0.0002","0.0000","0.0000","0.0000","0.0002","0.0000","0.0157","26.6751","0.0000","99.4771","19.5000"
"20","0.0003","0.0000","0.0000","0.0000","0.0002","0.0000","0.0160","26.0978","0.0000","96.0836","20.5000"
"21","0.0003","0.0000","0.0000","0.0000","0.0002","0.0000","0.0157","25.5105","0.0000","89.2710","21.5000"
"22","0.0003","0.0000","0.0000","0.0000","0.0002","0.0000","0.0149","24.9001","0.0000","80.4478","22.5000"
"23","0.0003","0.0000","0.0000","0.0000","0.0002","0.0000","0.0139","24.2587","0.0000","70.9844","23.5000"
"24","0.0003","0.0000","0.0000","0.0000","0.0003","0.0000","0.0129","23.5837","0.0000","62.1124","24.5000"
"25","0.0004","0.0000","0.0000","0.0000","0.0003","0.0000","0.0120","22.8782","0.0000","54.8098","25.5000"
"26","0.0004","0.0000","0.0000","0.0000","0.0003","0.0000","0.0116","22.1496","0.0000","49.8063","26.5000"
"27","0.0004","0.0000","0.0000","0.0000","0.0003","0.0000","0.0118","21.4096","0.0000","47.6221","27.5000"
"28","0.0004","0.0000","0.0000","0.0000","0.0003","0.0000","0.0127","20.6728","0.0000","48.3533","28.5000"
"29","0.0004","0.0000","0.0000","0.0000","0.0004","0.0000","0.0143","19.9526","0.0000","51.0335","29.5000"
"30","0.0004","0.0000","0.0000","0.0000","0.0004","0.0000","0.0164","19.2588","0.0000","54.5736","30.5000"
"31","0.0004","0.0000","0.0000","0.0000","0.0004","0.0000","0.0188","18.5972","0.0000","58.0149","31.5000"
"32","0.0005","0.0000","0.0000","0.0000","0.0004","0.0000","0.0213","17.9698","0.0000","60.5350","32.5000"
"33","0.0005","0.0000","0.0000","0.0000","0.0005","0.0000","0.0239","17.3756","0.0000","61.5487","33.5000"
"34","0.0006","0.0000","0.0000","0.0000","0.0005","0.0000","0.0264","16.8121","0.0000","61.2766","34.5000"
"35","0.0006","0.0000","0.0000","0.0000","0.0005","0.0000","0.0294","16.2814","0.0000","61.2358","35.5000"
