agegroup,chd.duration,se
25-29,9,0
30-34,6.48732058221674,3.53557537384472
35-39,7,0
40-44,2.74646550573266,1.08995435222797
45-49,5.57081433516497,1.30399654543211
50-54,5.70462057085555,0.935432228328751
55-59,7.44995577241487,1.33828405716856
60-64,8.57840840349836,1.030719331671
65-69,10.762025806314,1.14238276628095
70-74,11.3349101604448,0.979716503423885
75-79,14.928924442814,1.47366062968426
80-84,14.5541897905501,1.40159541515213
85+,18.4010389103268,2.32934218944836
