"DisMod II input and output, database QIMD 2 2011","","","","","","","","","","",""
"Females, Disease: CHD (Rates * ), sex: Females","","","","","","","","","","",""
"Written 05/12/2016, 22:36:59","","","","","","","","","","",""
"Age","Prevalence (rates)","Remission (rates)","Mortality (rates)","Incidence (rates)","Prevalence (rates)","Remission (rates)","Case fatality (rates)","Duration (years)","Mortality (rates)","RR mortality (number)","Age of onset (years)"
"50","0.0123","0.0000","0.0001","0.0004","0.0133","0.0000","0.0042","29.6939","0.0001","3.6988","50.5000"
"51","0.0133","0.0000","0.0001","0.0005","0.0140","0.0000","0.0045","28.8668","0.0001","3.6502","51.5000"
"52","0.0144","0.0000","0.0001","0.0007","0.0149","0.0000","0.0048","28.0491","0.0001","3.5717","52.5000"
"53","0.0155","0.0000","0.0001","0.0009","0.0160","0.0000","0.0051","27.2398","0.0001","3.4760","53.5000"
"54","0.0169","0.0000","0.0001","0.0012","0.0174","0.0000","0.0054","26.4377","0.0001","3.3677","54.5000"
"55","0.0184","0.0000","0.0001","0.0015","0.0191","0.0000","0.0057","25.6418","0.0001","3.2480","55.5000"
"56","0.0203","0.0000","0.0001","0.0019","0.0211","0.0000","0.0059","24.8513","0.0001","3.1181","56.5000"
"57","0.0226","0.0000","0.0002","0.0022","0.0235","0.0000","0.0061","24.0656","0.0001","2.9789","57.5000"
"58","0.0255","0.0000","0.0002","0.0025","0.0262","0.0000","0.0062","23.2842","0.0002","2.8332","58.5000"
"59","0.0290","0.0000","0.0002","0.0029","0.0292","0.0000","0.0064","22.5069","0.0002","2.6897","59.5000"
"60","0.0329","0.0000","0.0002","0.0032","0.0326","0.0000","0.0065","21.7338","0.0002","2.5559","60.5000"
"61","0.0371","0.0000","0.0003","0.0035","0.0363","0.0000","0.0067","20.9649","0.0002","2.4370","61.5000"
"62","0.0416","0.0000","0.0003","0.0038","0.0403","0.0000","0.0069","20.2001","0.0003","2.3364","62.5000"
"63","0.0461","0.0000","0.0003","0.0041","0.0447","0.0000","0.0071","19.4394","0.0003","2.2548","63.5000"
"64","0.0507","0.0000","0.0003","0.0043","0.0492","0.0000","0.0073","18.6827","0.0004","2.1888","64.5000"
"65","0.0552","0.0000","0.0004","0.0045","0.0541","0.0000","0.0076","17.9304","0.0004","2.1350","65.5000"
"66","0.0597","0.0000","0.0005","0.0046","0.0591","0.0000","0.0080","17.1832","0.0005","2.0901","66.5000"
"67","0.0641","0.0000","0.0005","0.0047","0.0643","0.0000","0.0085","16.4422","0.0005","2.0511","67.5000"
"68","0.0684","0.0000","0.0006","0.0048","0.0696","0.0000","0.0090","15.7091","0.0006","2.0158","68.5000"
"69","0.0726","0.0000","0.0008","0.0048","0.0749","0.0000","0.0097","14.9857","0.0007","1.9844","69.5000"
"70","0.0768","0.0000","0.0009","0.0047","0.0802","0.0000","0.0105","14.2737","0.0008","1.9571","70.5000"
"71","0.0810","0.0000","0.0011","0.0046","0.0853","0.0000","0.0114","13.5750","0.0010","1.9344","71.5000"
"72","0.0851","0.0000","0.0012","0.0045","0.0903","0.0000","0.0125","12.8911","0.0011","1.9164","72.5000"
"73","0.0894","0.0000","0.0014","0.0045","0.0952","0.0000","0.0138","12.2233","0.0013","1.9026","73.5000"
"74","0.0938","0.0000","0.0016","0.0046","0.1000","0.0000","0.0153","11.5730","0.0015","1.8919","74.5000"
"75","0.0983","0.0000","0.0018","0.0048","0.1047","0.0000","0.0170","10.9415","0.0018","1.8828","75.5000"
"76","0.1030","0.0000","0.0021","0.0052","0.1095","0.0000","0.0190","10.3300","0.0021","1.8739","76.5000"
"77","0.1078","0.0000","0.0025","0.0057","0.1144","0.0000","0.0211","9.7397","0.0024","1.8637","77.5000"
"78","0.1127","0.0000","0.0029","0.0064","0.1196","0.0000","0.0235","9.1721","0.0028","1.8506","78.5000"
"79","0.1178","0.0000","0.0034","0.0071","0.1249","0.0000","0.0262","8.6286","0.0033","1.8323","79.5000"
"80","0.1228","0.0000","0.0041","0.0077","0.1303","0.0000","0.0290","8.1117","0.0038","1.8072","80.5000"
"81","0.1278","0.0000","0.0047","0.0084","0.1358","0.0000","0.0322","7.6249","0.0044","1.7737","81.5000"
"82","0.1325","0.0000","0.0055","0.0089","0.1412","0.0000","0.0356","7.1735","0.0050","1.7316","82.5000"
"83","0.1370","0.0000","0.0062","0.0093","0.1463","0.0000","0.0393","6.7651","0.0057","1.6844","83.5000"
"84","0.1412","0.0000","0.0070","0.0098","0.1511","0.0000","0.0435","6.4078","0.0066","1.6431","84.5000"
"85","0.1449","0.0000","0.0079","0.0103","0.1554","0.0000","0.0483","6.1055","0.0075","1.6177","85.5000"
"86","0.1483","0.0000","0.0090","0.0108","0.1592","0.0000","0.0537","5.8550","0.0085","1.6170","86.5000"
"87","0.1514","0.0000","0.0102","0.0115","0.1625","0.0000","0.0599","5.6426","0.0097","1.6515","87.5000"
"88","0.1540","0.0000","0.0117","0.0124","0.1652","0.0000","0.0668","5.4418","0.0110","1.7378","88.5000"
"89","0.1563","0.0000","0.0134","0.0132","0.1675","0.0000","0.0739","5.2147","0.0124","1.9031","89.5000"
"90","0.1581","0.0000","0.0152","0.0140","0.1691","0.0000","0.0805","5.0293","0.0136","1.7394","90.5000"
"91","0.1596","0.0000","0.0169","0.0145","0.1703","0.0000","0.0859","4.9340","0.0146","1.7371","91.5000"
"92","0.1606","0.0000","0.0185","0.0145","0.1708","0.0000","0.0892","4.8787","0.0152","1.7211","92.5000"
"93","0.1612","0.0000","0.0199","0.0140","0.1707","0.0000","0.0899","4.8589","0.0153","1.6887","93.5000"
"94","0.1614","0.0000","0.0208","0.0128","0.1699","0.0000","0.0875","4.8670","0.0149","1.6387","94.5000"
"95","0.1612","0.0000","0.0213","0.0110","0.1683","0.0000","0.0823","4.8940","0.0139","1.5764","95.5000"
"96","0.1608","0.0000","0.0212","0.0089","0.1659","0.0000","0.0752","4.9311","0.0125","1.5072","96.5000"
"97","0.1603","0.0000","0.0200","0.0065","0.1628","0.0000","0.0667","4.9704","0.0109","1.4356","97.5000"
"98","0.1598","0.0000","0.0171","0.0042","0.1589","0.0000","0.0575","5.0045","0.0091","1.3654","98.5000"
"99","0.1594","0.0000","0.0119","0.0019","0.1543","0.0000","0.0484","5.0278","0.0075","1.3000","99.5000"
"100+","0.1593","0.0000","0.0036","0.0000","0.1490","0.0000","0.0399","5.0362","0.0059","1.2425","105.4576"
"","","","","","","","","","","",""
"All ages","0.0280","NA","0.0008","0.0019","0.0296","0.0003","0.0249","14.6965","0.0007","1.9275","71.1693"
