"DisMod II input and output, database QIMD 3 2011","","","","","","","","","","",""
"Males, Disease: Stroke (Rates * ), sex: Males","","","","","","","","","","",""
"Written 05/12/2016, 22:59:32","","","","","","","","","","",""
"Age","Prevalence (rates)","Remission (rates)","Mortality (rates)","Incidence (rates)","Prevalence (rates)","Remission (rates)","Case fatality (rates)","Duration (years)","Mortality (rates)","RR mortality (number)","Age of onset (years)"
"0","0.0013","0.0000","0.0000","0.0000","0.0013","0.0003","0.0025","65.5484","0.0000","1.5188","0.5000"
"1","0.0012","0.0000","0.0000","0.0000","0.0013","0.0003","0.0024","64.9581","0.0000","2.0851","1.5000"
"2","0.0006","0.0000","0.0000","0.0000","0.0013","0.0003","0.0024","64.2212","0.0000","5.8825","2.5000"
"3","0.0001","0.0000","0.0000","0.0000","0.0013","0.0003","0.0022","63.4051","0.0000","17.7086","3.5000"
"4","0.0000","0.0000","0.0000","0.0000","0.0013","0.0002","0.0020","62.5619","0.0000","29.4075","4.5000"
"5","0.0001","0.0000","0.0000","0.0000","0.0013","0.0002","0.0018","61.7000","0.0000","30.0706","5.5000"
"6","0.0004","0.0000","0.0000","0.0000","0.0013","0.0002","0.0016","60.8202","0.0000","23.3110","6.5000"
"7","0.0008","0.0000","0.0000","0.0000","0.0013","0.0001","0.0014","59.9232","0.0000","17.0299","7.5000"
"8","0.0011","0.0000","0.0000","0.0000","0.0013","0.0001","0.0012","59.0101","0.0000","13.8959","8.5000"
"9","0.0012","0.0000","0.0000","0.0000","0.0013","0.0001","0.0010","58.0828","0.0000","12.6061","9.5000"
"10","0.0012","0.0000","0.0000","0.0000","0.0013","0.0000","0.0009","57.1442","0.0000","12.2160","10.5000"
"11","0.0011","0.0000","0.0000","0.0000","0.0013","0.0000","0.0008","56.1980","0.0000","12.0385","11.5000"
"12","0.0010","0.0000","0.0000","0.0000","0.0013","0.0000","0.0008","55.2473","0.0000","11.4003","12.5000"
"13","0.0010","0.0000","0.0000","0.0000","0.0014","0.0000","0.0008","54.2950","0.0000","9.9281","13.5000"
"14","0.0009","0.0000","0.0000","0.0000","0.0014","0.0000","0.0008","53.3436","0.0000","8.1364","14.5000"
"15","0.0009","0.0000","0.0000","0.0000","0.0014","0.0000","0.0009","52.3949","0.0000","6.5203","15.5000"
"16","0.0010","0.0000","0.0000","0.0000","0.0014","0.0000","0.0009","51.4505","0.0000","5.3102","16.5000"
"17","0.0010","0.0000","0.0000","0.0000","0.0014","0.0000","0.0010","50.5114","0.0000","4.5875","17.5000"
"18","0.0010","0.0000","0.0000","0.0000","0.0014","0.0000","0.0011","49.5786","0.0000","4.3217","18.5000"
"19","0.0010","0.0000","0.0000","0.0000","0.0014","0.0000","0.0012","48.6526","0.0000","4.3858","19.5000"
"20","0.0010","0.0000","0.0000","0.0000","0.0014","0.0000","0.0014","47.7345","0.0000","4.7024","20.5000"
"21","0.0010","0.0000","0.0000","0.0000","0.0014","0.0000","0.0017","46.8257","0.0000","5.2232","21.5000"
"22","0.0010","0.0000","0.0000","0.0000","0.0014","0.0000","0.0020","45.9284","0.0000","5.8803","22.5000"
"23","0.0010","0.0000","0.0000","0.0000","0.0014","0.0000","0.0024","45.0455","0.0000","6.5751","23.5000"
"24","0.0010","0.0000","0.0000","0.0000","0.0014","0.0000","0.0028","44.1801","0.0000","7.2791","24.5000"
"25","0.0009","0.0000","0.0000","0.0000","0.0014","0.0000","0.0034","43.3353","0.0000","7.9994","25.5000"
"26","0.0009","0.0000","0.0000","0.0000","0.0014","0.0000","0.0040","42.5145","0.0000","8.7603","26.5000"
"27","0.0010","0.0000","0.0000","0.0000","0.0014","0.0000","0.0047","41.7208","0.0000","9.6065","27.5000"
"28","0.0010","0.0000","0.0000","0.0000","0.0014","0.0000","0.0056","40.9572","0.0000","10.5745","28.5000"
"29","0.0012","0.0000","0.0000","0.0000","0.0014","0.0000","0.0065","40.2258","0.0000","11.5887","29.5000"
"30","0.0013","0.0000","0.0000","0.0000","0.0015","0.0000","0.0074","39.5270","0.0000","12.5407","30.5000"
"31","0.0014","0.0000","0.0000","0.0000","0.0015","0.0000","0.0083","38.8598","0.0000","13.3171","31.5000"
"32","0.0015","0.0000","0.0000","0.0001","0.0015","0.0000","0.0091","38.2213","0.0000","13.8031","32.5000"
"33","0.0015","0.0000","0.0000","0.0001","0.0016","0.0000","0.0098","37.6077","0.0000","13.9120","33.5000"
"34","0.0015","0.0000","0.0000","0.0001","0.0017","0.0000","0.0104","37.0136","0.0000","13.6645","34.5000"
"35","0.0014","0.0000","0.0000","0.0001","0.0018","0.0000","0.0108","36.4332","0.0000","13.1554","35.5000"
"36","0.0015","0.0000","0.0000","0.0002","0.0020","0.0000","0.0110","35.8607","0.0000","12.4838","36.5000"
"37","0.0017","0.0000","0.0000","0.0003","0.0022","0.0000","0.0112","35.2909","0.0000","11.7332","37.5000"
"38","0.0021","0.0000","0.0000","0.0004","0.0025","0.0000","0.0111","34.7185","0.0000","10.9593","38.5000"
"39","0.0027","0.0000","0.0000","0.0005","0.0029","0.0000","0.0110","34.1387","0.0000","10.1683","39.5000"
"40","0.0035","0.0000","0.0000","0.0006","0.0034","0.0000","0.0107","33.5470","0.0000","9.3590","40.5000"
"41","0.0045","0.0000","0.0000","0.0008","0.0042","0.0000","0.0103","32.9397","0.0000","8.5429","41.5000"
"42","0.0056","0.0000","0.0000","0.0010","0.0050","0.0000","0.0099","32.3142","0.0000","7.7338","42.5000"
"43","0.0068","0.0000","0.0001","0.0011","0.0061","0.0000","0.0094","31.6692","0.0001","6.9474","43.5000"
"44","0.0082","0.0000","0.0001","0.0013","0.0074","0.0000","0.0088","31.0042","0.0001","6.2057","44.5000"
"45","0.0096","0.0000","0.0001","0.0014","0.0088","0.0000","0.0083","30.3198","0.0001","5.5269","45.5000"
"46","0.0111","0.0000","0.0001","0.0015","0.0103","0.0000","0.0078","29.6174","0.0001","4.9219","46.5000"
"47","0.0127","0.0000","0.0001","0.0015","0.0118","0.0000","0.0074","28.8991","0.0001","4.3911","47.5000"
"48","0.0144","0.0000","0.0001","0.0015","0.0135","0.0000","0.0070","28.1670","0.0001","3.9317","48.5000"
"49","0.0162","0.0000","0.0001","0.0016","0.0152","0.0000","0.0067","27.4236","0.0001","3.5401","49.5000"
"50","0.0180","0.0000","0.0001","0.0016","0.0169","0.0000","0.0064","26.6715","0.0001","3.2117","50.5000"
"51","0.0199","0.0000","0.0001","0.0016","0.0186","0.0000","0.0062","25.9134","0.0001","2.9408","51.5000"
"52","0.0218","0.0000","0.0001","0.0017","0.0204","0.0000","0.0060","25.1519","0.0001","2.7204","52.5000"
"53","0.0238","0.0000","0.0001","0.0017","0.0223","0.0000","0.0060","24.3896","0.0001","2.5408","53.5000"
"54","0.0257","0.0000","0.0001","0.0018","0.0243","0.0000","0.0060","23.6286","0.0001","2.3938","54.5000"
"55","0.0276","0.0000","0.0002","0.0019","0.0264","0.0000","0.0061","22.8705","0.0002","2.2728","55.5000"
