"DisMod II input and output, database QIMD 5 2011","","","","","","","","","","",""
"Females, Disease: CHD (Rates * ), sex: Females","","","","","","","","","","",""
"Written 05/12/2016, 23:24:03","","","","","","","","","","",""
"Age","Prevalence (rates)","Remission (rates)","Mortality (rates)","Incidence (rates)","Prevalence (rates)","Remission (rates)","Case fatality (rates)","Duration (years)","Mortality (rates)","RR mortality (number)","Age of onset (years)"
"0","0.0002","0.0000","0.0000","0.0000","0.0002","0.0000","0.0000","69.7147","0.0000","1.0004","0.5000"
"1","0.0002","0.0000","0.0000","0.0000","0.0002","0.0000","0.0000","68.9648","0.0000","1.0013","1.5000"
"2","0.0001","0.0000","0.0000","0.0000","0.0002","0.0000","0.0000","68.0587","0.0000","1.0117","2.5000"
"3","0.0000","0.0000","0.0000","0.0000","0.0002","0.0000","0.0000","67.0791","0.0000","1.0706","3.5000"
"4","0.0000","0.0000","0.0000","0.0000","0.0002","0.0000","0.0000","66.0865","0.0000","1.1802","4.5000"
"5","0.0000","0.0000","0.0000","0.0000","0.0002","0.0000","0.0000","65.0920","0.0000","1.2614","5.5000"
"6","0.0000","0.0000","0.0000","0.0000","0.0002","0.0000","0.0000","64.0980","0.0000","1.2851","6.5000"
"7","0.0000","0.0000","0.0000","0.0000","0.0002","0.0000","0.0000","63.1051","0.0000","1.3018","7.5000"
"8","0.0000","0.0000","0.0000","0.0000","0.0002","0.0000","0.0000","62.1133","0.0000","1.3759","8.5000"
"9","0.0000","0.0000","0.0000","0.0000","0.0003","0.0000","0.0000","61.1219","0.0000","1.5381","9.5000"
"10","0.0000","0.0000","0.0000","0.0000","0.0003","0.0000","0.0001","60.1304","0.0000","1.8164","10.5000"
"11","0.0000","0.0000","0.0000","0.0000","0.0003","0.0000","0.0001","59.1390","0.0000","2.2015","11.5000"
"12","0.0000","0.0000","0.0000","0.0000","0.0003","0.0000","0.0001","58.1480","0.0000","2.5823","12.5000"
"13","0.0000","0.0000","0.0000","0.0000","0.0003","0.0000","0.0001","57.1579","0.0000","2.7640","13.5000"
"14","0.0001","0.0000","0.0000","0.0000","0.0003","0.0000","0.0001","56.1691","0.0000","2.7082","14.5000"
"15","0.0003","0.0000","0.0000","0.0000","0.0003","0.0000","0.0001","55.1820","0.0000","2.5041","15.5000"
"16","0.0004","0.0000","0.0000","0.0000","0.0004","0.0000","0.0002","54.1969","0.0000","2.2997","16.5000"
"17","0.0005","0.0000","0.0000","0.0001","0.0004","0.0000","0.0002","53.2150","0.0000","2.2977","17.5000"
"18","0.0006","0.0000","0.0000","0.0001","0.0005","0.0000","0.0003","52.2384","0.0000","2.5902","18.5000"
"19","0.0006","0.0000","0.0000","0.0001","0.0006","0.0000","0.0005","51.2703","0.0000","3.2114","19.5000"
"20","0.0007","0.0000","0.0000","0.0001","0.0007","0.0000","0.0008","50.3151","0.0000","4.2074","20.5000"
"21","0.0008","0.0000","0.0000","0.0001","0.0009","0.0000","0.0012","49.3784","0.0000","5.6368","21.5000"
"22","0.0009","0.0000","0.0000","0.0001","0.0010","0.0000","0.0018","48.4666","0.0000","7.4802","22.5000"
"23","0.0012","0.0000","0.0000","0.0001","0.0012","0.0000","0.0025","47.5845","0.0000","9.4479","23.5000"
"24","0.0015","0.0000","0.0000","0.0001","0.0013","0.0000","0.0032","46.7336","0.0000","11.2236","24.5000"
"25","0.0018","0.0000","0.0000","0.0001","0.0015","0.0000","0.0038","45.9119","0.0000","12.5230","25.5000"
"26","0.0021","0.0000","0.0000","0.0001","0.0016","0.0000","0.0043","45.1138","0.0000","13.1034","26.5000"
"27","0.0021","0.0000","0.0000","0.0001","0.0018","0.0000","0.0046","44.3309","0.0000","12.7970","27.5000"
"28","0.0020","0.0000","0.0000","0.0001","0.0019","0.0000","0.0046","43.5521","0.0000","11.6341","28.5000"
"29","0.0016","0.0000","0.0000","0.0000","0.0020","0.0000","0.0044","42.7673","0.0000","10.0364","29.5000"
"30","0.0012","0.0000","0.0000","0.0000","0.0021","0.0000","0.0041","41.9694","0.0000","8.3960","30.5000"
"31","0.0009","0.0000","0.0000","0.0001","0.0022","0.0000","0.0037","41.1549","0.0000","6.9576","31.5000"
"32","0.0008","0.0000","0.0000","0.0001","0.0023","0.0000","0.0033","40.3237","0.0000","5.8497","32.5000"
"33","0.0010","0.0000","0.0000","0.0002","0.0025","0.0000","0.0030","39.4785","0.0000","5.1203","33.5000"
"34","0.0016","0.0000","0.0000","0.0004","0.0029","0.0000","0.0029","38.6246","0.0000","4.7345","34.5000"
"35","0.0025","0.0000","0.0000","0.0006","0.0035","0.0000","0.0030","37.7682","0.0000","4.5810","35.5000"
"36","0.0036","0.0000","0.0000","0.0008","0.0043","0.0000","0.0031","36.9144","0.0000","4.5546","36.5000"
"37","0.0049","0.0000","0.0000","0.0010","0.0053","0.0000","0.0034","36.0670","0.0000","4.5637","37.5000"
"38","0.0062","0.0000","0.0000","0.0012","0.0065","0.0000","0.0037","35.2290","0.0000","4.5358","38.5000"
"39","0.0076","0.0000","0.0000","0.0013","0.0079","0.0000","0.0040","34.4020","0.0000","4.4510","39.5000"
"40","0.0091","0.0000","0.0001","0.0014","0.0094","0.0000","0.0044","33.5865","0.0000","4.3168","40.5000"
"41","0.0107","0.0000","0.0001","0.0015","0.0111","0.0000","0.0047","32.7824","0.0001","4.1618","41.5000"
"42","0.0125","0.0000","0.0001","0.0015","0.0128","0.0000","0.0050","31.9890","0.0001","4.0143","42.5000"
"43","0.0145","0.0000","0.0001","0.0015","0.0145","0.0000","0.0053","31.2054","0.0001","3.8919","43.5000"
"44","0.0166","0.0000","0.0001","0.0016","0.0164","0.0000","0.0056","30.4301","0.0001","3.7869","44.5000"
"45","0.0189","0.0000","0.0001","0.0018","0.0184","0.0000","0.0059","29.6621","0.0001","3.6876","45.5000"
"46","0.0214","0.0000","0.0001","0.0020","0.0206","0.0000","0.0061","28.9005","0.0001","3.5838","46.5000"
"47","0.0240","0.0000","0.0001","0.0022","0.0231","0.0000","0.0063","28.1444","0.0001","3.4676","47.5000"
"48","0.0267","0.0000","0.0002","0.0025","0.0258","0.0000","0.0066","27.3936","0.0002","3.3358","48.5000"
"49","0.0294","0.0000","0.0002","0.0028","0.0289","0.0000","0.0068","26.6481","0.0002","3.1961","49.5000"
"50","0.0324","0.0000","0.0002","0.0031","0.0323","0.0000","0.0070","25.9076","0.0002","3.0574","50.5000"
"51","0.0356","0.0000","0.0003","0.0033","0.0360","0.0000","0.0071","25.1720","0.0003","2.9267","51.5000"
"52","0.0392","0.0000","0.0003","0.0034","0.0400","0.0000","0.0073","24.4409","0.0003","2.8091","52.5000"
"53","0.0432","0.0000","0.0004","0.0035","0.0441","0.0000","0.0075","23.7138","0.0003","2.7063","53.5000"
"54","0.0476","0.0000","0.0004","0.0036","0.0483","0.0000","0.0077","22.9900","0.0004","2.6134","54.5000"
"55","0.0524","0.0000","0.0004","0.0037","0.0527","0.0000","0.0079","22.2693","0.0004","2.5248","55.5000"
"56","0.0574","0.0000","0.0005","0.0039","0.0572","0.0000","0.0080","21.5516","0.0005","2.4361","56.5000"
"57","0.0628","0.0000","0.0005","0.0041","0.0619","0.0000","0.0082","20.8373","0.0005","2.3439","57.5000"
"58","0.0683","0.0000","0.0006","0.0044","0.0669","0.0000","0.0084","20.1272","0.0006","2.2476","58.5000"
"59","0.0739","0.0000","0.0006","0.0048","0.0723","0.0000","0.0085","19.4223","0.0006","2.1539","59.5000"
"60","0.0797","0.0000","0.0007","0.0052","0.0780","0.0000","0.0088","18.7238","0.0007","2.0691","60.5000"
"61","0.0855","0.0000","0.0007","0.0056","0.0840","0.0000","0.0090","18.0324","0.0008","1.9976","61.5000"
"62","0.0913","0.0000","0.0008","0.0059","0.0903","0.0000","0.0094","17.3486","0.0008","1.9421","62.5000"
"63","0.0971","0.0000","0.0009","0.0060","0.0968","0.0000","0.0098","16.6722","0.0009","1.9038","63.5000"
"64","0.1028","0.0000","0.0011","0.0060","0.1034","0.0000","0.0103","16.0033","0.0011","1.8789","64.5000"
"65","0.1084","0.0000","0.0012","0.0059","0.1098","0.0000","0.0109","15.3419","0.0012","1.8627","65.5000"
"66","0.1137","0.0000","0.0014","0.0056","0.1160","0.0000","0.0116","14.6887","0.0013","1.8506","66.5000"
"67","0.1186","0.0000","0.0016","0.0053","0.1218","0.0000","0.0124","14.0449","0.0015","1.8385","67.5000"
"68","0.1231","0.0000","0.0018","0.0051","0.1272","0.0000","0.0133","13.4123","0.0017","1.8234","68.5000"
"69","0.1271","0.0000","0.0020","0.0048","0.1322","0.0000","0.0144","12.7929","0.0019","1.8055","69.5000"
"70","0.1307","0.0000","0.0022","0.0046","0.1369","0.0000","0.0155","12.1882","0.0021","1.7864","70.5000"
"71","0.1340","0.0000","0.0025","0.0046","0.1412","0.0000","0.0167","11.5997","0.0024","1.7682","71.5000"
"72","0.1372","0.0000","0.0028","0.0046","0.1452","0.0000","0.0182","11.0282","0.0026","1.7528","72.5000"
"73","0.1404","0.0000","0.0030","0.0046","0.1489","0.0000","0.0197","10.4743","0.0029","1.7413","73.5000"
"74","0.1434","0.0000","0.0034","0.0048","0.1524","0.0000","0.0215","9.9384","0.0033","1.7338","74.5000"
"75","0.1464","0.0000","0.0038","0.0051","0.1557","0.0000","0.0235","9.4205","0.0037","1.7297","75.5000"
"76","0.1493","0.0000","0.0042","0.0054","0.1588","0.0000","0.0258","8.9209","0.0041","1.7285","76.5000"
"77","0.1520","0.0000","0.0047","0.0059","0.1617","0.0000","0.0283","8.4397","0.0046","1.7293","77.5000"
"78","0.1545","0.0000","0.0053","0.0063","0.1645","0.0000","0.0311","7.9769","0.0051","1.7309","78.5000"
"79","0.1568","0.0000","0.0060","0.0069","0.1672","0.0000","0.0341","7.5329","0.0057","1.7308","79.5000"
"80","0.1588","0.0000","0.0067","0.0074","0.1697","0.0000","0.0374","7.1091","0.0063","1.7262","80.5000"
"81","0.1605","0.0000","0.0075","0.0080","0.1719","0.0000","0.0410","6.7087","0.0070","1.7146","81.5000"
"82","0.1621","0.0000","0.0083","0.0085","0.1738","0.0000","0.0448","6.3365","0.0078","1.6939","82.5000"
