"DisMod II input and output, database QIMD 1 2011 affluent","","","","","","","","","","",""
"Males, Disease: CHD (Rates * ), sex: Males","","","","","","","","","","",""
"Written 05/12/2016, 22:11:12","","","","","","","","","","",""
"Age","Prevalence (rates)","Remission (rates)","Mortality (rates)","Incidence (rates)","Prevalence (rates)","Remission (rates)","Case fatality (rates)","Duration (years)","Mortality (rates)","RR mortality (number)","Age of onset (years)"
"36","0.0061908053","0.0000000000","0.0000642206","0.0002676917","0.0082565719","0.0000000000","0.0045505783","35.5274660158","0.0000375726","7.6223175708","36.5000000000"
"37","0.0059102013","0.0000000000","0.0000703924","0.0002050579","0.0086699588","0.0000000000","0.0050522253","34.7194545787","0.0000438029","7.9362768990","37.5000000000"
"38","0.0057507969","0.0000000000","0.0000696412","0.0001484846","0.0090257093","0.0000000000","0.0055009735","33.9243640506","0.0000496504","8.2713656890","38.5000000000"
"39","0.0057615314","0.0000000000","0.0000628154","0.0001034387","0.0093303944","0.0000000000","0.0058539372","33.1386140449","0.0000546197","8.5520573325","39.5000000000"
"40","0.0059450956","0.0000000000","0.0000539685","0.0000758335","0.0095966464","0.0000000000","0.0060891641","32.3579347109","0.0000584356","8.6949215747","40.5000000000"
"41","0.0063021696","0.0000000000","0.0000472933","0.0000733670","0.0098438839","0.0000000000","0.0062684356","31.5791580746","0.0000617058","8.7108802300","41.5000000000"
"42","0.0068334334","0.0000000000","0.0000469825","0.0001041835","0.0100989857","0.0000000000","0.0064744665","30.8017897884","0.0000653857","8.6277503648","42.5000000000"
"43","0.0075397428","0.0000000000","0.0000570904","0.0001764271","0.0103964645","0.0000000000","0.0067899718","30.0281008340","0.0000705921","8.4832477687","43.5000000000"
"44","0.0084259907","0.0000000000","0.0000784829","0.0002982423","0.0107785868","0.0000000000","0.0072976663","29.2627515910","0.0000786595","8.3732474011","44.5000000000"
"45","0.0095011077","0.0000000000","0.0001088380","0.0004777732","0.0112954049","0.0000000000","0.0080802648","28.5124133847","0.0000912721","8.3785180476","45.5000000000"
"46","0.0107741998","0.0000000000","0.0001456950","0.0007185639","0.0120025169","0.0000000000","0.0091853778","27.7850320780","0.0001102523","8.5182803091","46.5000000000"
"47","0.0122543730","0.0000000000","0.0001865930","0.0010057582","0.0129503318","0.0000000000","0.0105201976","27.0872893718","0.0001362488","8.7006189908","47.5000000000"
"48","0.0139497999","0.0000000000","0.0002290985","0.0013198996","0.0141731511","0.0000000000","0.0119568121","26.4223476199","0.0001694809","8.8473028872","48.5000000000"
"49","0.0158471810","0.0000000000","0.0002713990","0.0016415314","0.0156868901","0.0000000000","0.0133673092","25.7897690304","0.0002097154","8.8905347612","49.5000000000"
"50","0.0179117452","0.0000000000","0.0003123033","0.0019511972","0.0174893244","0.0000000000","0.0146237769","25.1859207559","0.0002557941","8.7838118105","50.5000000000"
"51","0.0201077876","0.0000000000","0.0003506474","0.0022294405","0.0195608770","0.0000000000","0.0155983031","24.6042713511","0.0003051610","8.5015688912","51.5000000000"
"52","0.0223996035","0.0000000000","0.0003852671","0.0024631966","0.0218686558","0.0000000000","0.0161985185","24.0360550066","0.0003542928","8.0489170401","52.5000000000"
"53","0.0247546149","0.0000000000","0.0004151432","0.0026649682","0.0243814839","0.0000000000","0.0164742251","23.4725268456","0.0004017253","7.4927154496","53.5000000000"
"54","0.0272121592","0.0000000000","0.0004425854","0.0028536496","0.0270843084","0.0000000000","0.0165107676","22.9070187973","0.0004472465","6.8964078627","54.5000000000"
"55","0.0298834893","0.0000000000","0.0004732329","0.0030481353","0.0299805854","0.0000000000","0.0163934908","22.3351923627","0.0004915540","6.3057973450","55.5000000000"
"56","0.0328829850","0.0000000000","0.0005128694","0.0032673197","0.0330913431","0.0000000000","0.0162077397","21.7548694173","0.0005364072","5.7528728399","56.5000000000"
"57","0.0363250259","0.0000000000","0.0005672789","0.0035300973","0.0364539896","0.0000000000","0.0160388588","21.1658635551","0.0005847568","5.2588542654","57.5000000000"
"58","0.0403202419","0.0000000000","0.0006419092","0.0038520704","0.0401196962","0.0000000000","0.0159533595","20.5696107390","0.0006401277","4.8325537227","58.5000000000"
"59","0.0448930196","0.0000000000","0.0007344782","0.0042356732","0.0441459609","0.0000000000","0.0159424190","19.9680582258","0.0007038870","4.4633567467","59.5000000000"
"60","0.0499815021","0.0000000000","0.0008349747","0.0046800478","0.0485896994","0.0000000000","0.0159783808","19.3626603027","0.0007764907","4.1390368929","60.5000000000"
"61","0.0555200828","0.0000000000","0.0009330512","0.0051843363","0.0535058144","0.0000000000","0.0160335886","18.7542232054","0.0008580109","3.8500492583","61.5000000000"
"62","0.0614431550","0.0000000000","0.0010183601","0.0057476807","0.0589471310","0.0000000000","0.0160803859","18.1429516024","0.0009480304","3.5890295969","62.5000000000"
"63","0.0676875912","0.0000000000","0.0010812364","0.0063692231","0.0649644500","0.0000000000","0.0160911165","17.5285141957","0.0010455073","3.3495737298","63.5000000000"
"64","0.0742472806","0.0000000000","0.0011277121","0.0070440233","0.0716044742","0.0000000000","0.0160504487","16.9102960208","0.0011494613","3.1257585228","64.5000000000"
"65","0.0811731296","0.0000000000","0.0011795161","0.0077508107","0.0788985040","0.0000000000","0.0159923504","16.2880418053","0.0012619715","2.9186747510","65.5000000000"
"66","0.0885185235","0.0000000000","0.0012590599","0.0084642327","0.0868504420","0.0000000000","0.0159631145","15.6623658173","0.0013866253","2.7301526366","66.5000000000"
"67","0.0963368478","0.0000000000","0.0013887549","0.0091589364","0.0954338770","0.0000000000","0.0160090336","15.0348023974","0.0015280497","2.5609967858","67.5000000000"
"68","0.1046791461","0.0000000000","0.0015901160","0.0098095690","0.1045920396","0.0000000000","0.0161764005","14.4077207828","0.0016921935","2.4117978108","68.5000000000"
"69","0.1135426053","0.0000000000","0.0018640378","0.0103907777","0.1142379106","0.0000000000","0.0165115079","13.7840686518","0.0018865380","2.2845856770","69.5000000000"
"70","0.1228705552","0.0000000000","0.0021907942","0.0108916181","0.1242613042","0.0000000000","0.0170479704","13.1669899025","0.0021187303","2.1793139085","70.5000000000"
"71","0.1326039844","0.0000000000","0.0025497629","0.0113587797","0.1345637269","0.0000000000","0.0177686898","12.5592925107","0.0023913822","2.0918170825","71.5000000000"
"72","0.1426838810","0.0000000000","0.0029203214","0.0118533603","0.1450934322","0.0000000000","0.0186438894","11.9630154752","0.0027055077","2.0180960602","72.5000000000"
"73","0.1530545359","0.0000000000","0.0032828765","0.0124364579","0.1558515135","0.0000000000","0.0196437928","11.3793680346","0.0030619677","1.9549566419","73.5000000000"
"74","0.1637361959","0.0000000000","0.0036415083","0.0131691703","0.1668898354","0.0000000000","0.0207386236","10.8088968572","0.0034615843","1.8990490975","74.5000000000"
"75","0.1748250639","0.0000000000","0.0040239702","0.0141125954","0.1783084302","0.0000000000","0.0218986051","10.2516942588","0.0039053119","1.8477359969","75.5000000000"
"76","0.1864206452","0.0000000000","0.0044590445","0.0153016614","0.1902411324","0.0000000000","0.0231052032","9.7075370251","0.0043962807","1.7995517771","76.5000000000"
"77","0.1986224451","0.0000000000","0.0049755141","0.0166666174","0.2027962148","0.0000000000","0.0243848527","9.1761497686","0.0049460191","1.7548452318","77.5000000000"
"78","0.2115212430","0.0000000000","0.0056016315","0.0181115428","0.2159987750","0.0000000000","0.0257752304","8.6575104764","0.0055684484","1.7136442719","78.5000000000"
"79","0.2250071186","0.0000000000","0.0063534630","0.0195405172","0.2297823975","0.0000000000","0.0273140135","8.1523188155","0.0062774943","1.6743441144","79.5000000000"
"80","0.2387694528","0.0000000000","0.0072348882","0.0208576199","0.2439944526","0.0000000000","0.0290388789","7.6625711377","0.0070867312","1.6351535127","80.5000000000"
"81","0.2524889002","0.0000000000","0.0082492571","0.0219669304","0.2584028042","0.0000000000","0.0309875036","7.1920022227","0.0080088445","1.5945451578","81.5000000000"
"82","0.2658461153","0.0000000000","0.0093999193","0.0227958387","0.2727124048","0.0000000000","0.0331905416","6.7466612495","0.0090532085","1.5512126658","82.5000000000"
"83","0.2785273768","0.0000000000","0.0106899844","0.0233649773","0.2866170101","0.0000000000","0.0356505540","6.3350640376","0.0102198950","1.5056483166","83.5000000000"
"84","0.2903483172","0.0000000000","0.0121170344","0.0237182893","0.2998475270","0.0000000000","0.0383630792","5.9651846271","0.0115049590","1.4646434267","84.5000000000"
"85","0.3012539226","0.0000000000","0.0136731239","0.0238997178","0.3121800358","0.0000000000","0.0413236551","5.6396648179","0.0129022760","1.4345147969","85.5000000000"
"86","0.3111948032","0.0000000000","0.0153500671","0.0239532059","0.3234339843","0.0000000000","0.0445278200","5.3519971769","0.0144035482","1.4201854837","86.5000000000"
"87","0.3201215691","0.0000000000","0.0171396782","0.0239226966","0.3334701415","0.0000000000","0.0479711120","5.0830116073","0.0159984479","1.4269984054","87.5000000000"
"88","0.3279848307","0.0000000000","0.0190321037","0.0238275268","0.3421840583","0.0000000000","0.0516178508","4.7991307165","0.0176639700","1.4631750413","88.5000000000"
"89","0.3347351980","0.0000000000","0.0209791304","0.0235886084","0.3494829164","0.0000000000","0.0553074819","4.4556551011","0.0193296722","1.5436490192","89.5000000000"
"90","0.3403232813","0.0000000000","0.0228941853","0.0231022471","0.3552648269","0.0000000000","0.0588482324","4.1262410667","0.0209066593","1.4240794729","90.5000000000"
"91","0.3446996908","0.0000000000","0.0246890277","0.0222647483","0.3594168337","0.0000000000","0.0620483291","3.8645070495","0.0223002769","1.4037415676","91.5000000000"
"92","0.3478150367","0.0000000000","0.0262754171","0.0209724179","0.3618140503","0.0000000000","0.0647159993","3.6208821170","0.0234131713","1.3804966090","92.5000000000"
"93","0.3496199292","0.0000000000","0.0275651126","0.0191215613","0.3623158803","0.0000000000","0.0666594698","3.3949047947","0.0241486528","1.3544077037","93.5000000000"
"94","0.3501298703","0.0000000000","0.0284698736","0.0166615153","0.3607701272","0.0000000000","0.0677376856","3.1862745834","0.0244334652","1.3259438906","94.5000000000"
"95","0.3496199290","0.0000000000","0.0289014594","0.0137537404","0.3570582765","0.0000000000","0.0680124632","2.9952390100","0.0242791522","1.2964669551","95.5000000000"
"96","0.3484300663","0.0000000000","0.0287608523","0.0106127285","0.3511428609","0.0000000000","0.0675963369","2.8230714363","0.0237299696","1.2671947662","96.5000000000"
"97","0.3469002430","0.0000000000","0.0277011639","0.0074529712","0.3430752774","0.0000000000","0.0666018412","2.6725649392","0.0228430140","1.2389955540","97.5000000000"
"98","0.3453704200","0.0000000000","0.0251276349","0.0044889603","0.3330002170","0.0000000000","0.0651415105","2.5489200852","0.0216856009","1.2124636319","98.5000000000"
"99","0.3441805582","0.0000000000","0.0204347291","0.0019351873","0.3211663901","0.0000000000","0.0633278790","2.4614576801","0.0203324440","1.1879811349","99.5000000000"
"100+","0.3436706184","0.0000000000","0.0130169102","0.0000061441","0.3079424865","0.0000000000","0.0612734813","2.4269230489","0.0188628083","1.1657681114","102.2053619883"
"","","","","","","","","","","",""
"All ages","0.0410928603","NA","0.0011020401","0.0034602136","0.0419982033","0.0000000000","0.0250820369","13.3279729437","0.0010535179","2.2192042431","69.7465869405"
