"DisMod II input and output, database QIMD 4 2011","","","","","","","","","","",""
"Males, Disease: Stroke (Rates * ), sex: Males","","","","","","","","","","",""
"Written 05/12/2016, 23:15:06","","","","","","","","","","",""
"Age","Prevalence (rates)","Remission (rates)","Mortality (rates)","Incidence (rates)","Prevalence (rates)","Remission (rates)","Case fatality (rates)","Duration (years)","Mortality (rates)","RR mortality (number)","Age of onset (years)"
"0","0.0005","0.0000","0.0000","0.0000","0.0005","0.0000","0.0001","11.7236","0.0000","1.0188","0.5000"
"1","0.0005","0.0000","0.0000","0.0000","0.0005","0.0000","0.0000","10.7672","0.0000","0.0000","1.5000"
"2","0.0003","0.0000","0.0000","0.0000","0.0005","0.0000","0.0000","9.7802","0.0000","1.0000","2.5000"
"3","0.0001","0.0000","0.0000","0.0000","0.0005","0.0000","0.0001","8.7828","0.0000","2.6065","3.5000"
"4","0.0000","0.0000","0.0000","0.0000","0.0005","0.0000","0.0229","7.8757","0.0000","477.6496","4.5000"
"5","0.0000","0.0000","0.0000","0.0000","0.0005","0.0000","0.0532","7.1577","0.0000","972.7297","5.5000"
"6","0.0000","0.0000","0.0000","0.0000","0.0005","0.0000","0.0785","6.6080","0.0000","920.6975","6.5000"
"7","0.0000","0.0000","0.0000","0.0000","0.0004","0.0000","0.0865","6.1332","0.0000","657.1080","7.5000"
"8","0.0000","0.0000","0.0000","0.0000","0.0004","0.0000","0.0647","5.5796","0.0000","414.6588","8.5000"
"9","0.0000","0.0000","0.0000","0.0000","0.0004","0.0000","0.0008","4.7593","0.0000","6.1557","9.5000"
"10","0.0000","0.0000","0.0000","0.0000","0.0004","0.0000","0.0000","3.7616","0.0000","0.0000","10.5000"
"11","0.0000","0.0000","0.0000","0.0000","0.0004","0.0000","0.0000","2.7620","0.0000","0.0000","11.5000"
"12","0.0000","0.0000","0.0000","0.0000","0.0004","0.0000","0.0000","1.7622","0.0000","0.0000","12.5000"
"13","0.0000","0.0000","0.0000","0.0000","0.0003","0.0000","0.4216","0.9916","0.0001","4486.8938","13.5000"
"14","0.0000","0.0000","0.0000","0.0000","0.0002","0.0000","1.2440","0.5585","0.0002","10959.5330","14.5000"
"15","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","2.5808","0.3284","0.0001","17263.2992","15.5000"
"16","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","4.4773","0.2069","0.0000","21978.9975","16.5000"
"17","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","6.7040","0.0000","0.0000","24604.1526","0.0000"
"18","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","8.9626","0.0000","0.0000","26135.2981","0.0000"
"19","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","10.9551","0.0903","0.0000","27008.2734","19.5000"
"20","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","12.3833","0.0805","0.0000","27218.2679","20.5000"
"21","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","12.9491","0.0775","0.0000","26518.4326","21.5000"
"22","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","12.4533","0.0811","0.0000","24609.6274","22.5000"
"23","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","11.0927","0.0919","0.0000","21704.7242","23.5000"
"24","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","9.1633","0.1129","0.0000","18024.7746","24.5000"
"25","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","6.9610","0.1532","0.0000","13825.6459","25.5000"
"26","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","4.7815","0.2435","0.0000","9527.3741","26.5000"
"27","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","2.9207","0.5393","0.0000","5738.4728","27.5000"
"28","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","1.6067","1.4373","0.0000","3034.6322","28.5000"
"29","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.7960","2.7923","0.0000","1412.4877","29.5000"
"30","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.3770","3.6648","0.0000","617.7086","30.5000"
"31","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.2385","3.8284","0.0000","356.1877","31.5000"
"32","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.2689","3.7958","0.0000","362.8156","32.5000"
"33","0.0000","0.0000","0.0000","0.0000","0.0001","0.0000","0.3570","4.0131","0.0000","433.2947","33.5000"
"34","0.0002","0.0000","0.0000","0.0000","0.0001","0.0000","0.4115","4.6764","0.0000","448.7600","34.5000"
"35","0.0003","0.0000","0.0000","0.0000","0.0001","0.0000","0.4228","5.8624","0.0000","414.0039","35.5000"
"36","0.0003","0.0000","0.0000","0.0001","0.0001","0.0000","0.4013","7.6212","0.0000","353.0672","36.5000"
"37","0.0001","0.0000","0.0000","0.0001","0.0001","0.0000","0.3577","9.9293","0.0000","283.1631","37.5000"
"38","0.0000","0.0000","0.0000","0.0001","0.0002","0.0000","0.3025","12.6354","0.0001","216.0369","38.5000"
"39","0.0000","0.0000","0.0000","0.0001","0.0002","0.0000","0.2462","15.4856","0.0001","159.2689","39.5000"
"40","0.0000","0.0000","0.0000","0.0002","0.0004","0.0000","0.1974","18.2325","0.0001","116.2983","40.5000"
"41","0.0000","0.0000","0.0000","0.0003","0.0005","0.0000","0.1571","20.7049","0.0001","84.8048","41.5000"
"42","0.0000","0.0000","0.0000","0.0004","0.0008","0.0000","0.1241","22.7968","0.0001","61.8885","42.5000"
"43","0.0009","0.0000","0.0001","0.0006","0.0012","0.0000","0.0974","24.4583","0.0001","45.2702","43.5000"
"44","0.0029","0.0000","0.0001","0.0009","0.0018","0.0000","0.0760","25.6853","0.0001","33.1361","44.5000"
"45","0.0055","0.0000","0.0001","0.0013","0.0028","0.0000","0.0587","26.5032","0.0002","24.1630","45.5000"
"46","0.0085","0.0000","0.0001","0.0019","0.0043","0.0000","0.0447","26.9521","0.0002","17.4312","46.5000"
"47","0.0117","0.0000","0.0001","0.0025","0.0064","0.0000","0.0335","27.0804","0.0002","12.4213","47.5000"
"48","0.0150","0.0000","0.0001","0.0031","0.0091","0.0000","0.0247","26.9440","0.0002","8.7756","48.5000"
"49","0.0183","0.0000","0.0001","0.0037","0.0125","0.0000","0.0180","26.6000","0.0002","6.2116","49.5000"
"50","0.0215","0.0000","0.0001","0.0041","0.0164","0.0000","0.0132","26.1016","0.0002","4.4753","50.5000"
"51","0.0249","0.0000","0.0002","0.0044","0.0207","0.0000","0.0097","25.4948","0.0002","3.3431","51.5000"
"52","0.0284","0.0000","0.0002","0.0044","0.0252","0.0000","0.0075","24.8166","0.0002","2.6322","52.5000"
"53","0.0320","0.0000","0.0002","0.0041","0.0296","0.0000","0.0061","24.0959","0.0002","2.2119","53.5000"
"54","0.0358","0.0000","0.0002","0.0038","0.0338","0.0000","0.0055","23.3545","0.0002","1.9819","54.5000"
"55","0.0397","0.0000","0.0002","0.0034","0.0378","0.0000","0.0053","22.6079","0.0002","1.8653","55.5000"
"56","0.0437","0.0000","0.0002","0.0031","0.0415","0.0000","0.0054","21.8659","0.0002","1.8049","56.5000"
"57","0.0476","0.0000","0.0003","0.0029","0.0449","0.0000","0.0057","21.1328","0.0003","1.7594","57.5000"
"58","0.0513","0.0000","0.0003","0.0029","0.0483","0.0000","0.0058","20.4090","0.0003","1.7056","58.5000"
"59","0.0550","0.0000","0.0003","0.0030","0.0517","0.0000","0.0059","19.6930","0.0003","1.6468","59.5000"
"60","0.0586","0.0000","0.0003","0.0033","0.0553","0.0000","0.0059","18.9836","0.0003","1.5898","60.5000"
"61","0.0622","0.0000","0.0003","0.0036","0.0593","0.0000","0.0058","18.2798","0.0003","1.5392","61.5000"
"62","0.0660","0.0000","0.0004","0.0040","0.0636","0.0000","0.0059","17.5813","0.0004","1.4981","62.5000"
"63","0.0699","0.0000","0.0004","0.0044","0.0683","0.0000","0.0060","16.8879","0.0004","1.4683","63.5000"
"64","0.0741","0.0000","0.0005","0.0047","0.0733","0.0000","0.0062","16.1997","0.0005","1.4486","64.5000"
"65","0.0786","0.0000","0.0005","0.0050","0.0787","0.0000","0.0064","15.5180","0.0005","1.4357","65.5000"
"66","0.0834","0.0000","0.0006","0.0053","0.0843","0.0000","0.0068","14.8444","0.0006","1.4262","66.5000"
"67","0.0885","0.0000","0.0007","0.0056","0.0901","0.0000","0.0073","14.1815","0.0007","1.4171","67.5000"
"68","0.0940","0.0000","0.0008","0.0060","0.0962","0.0000","0.0079","13.5323","0.0008","1.4062","68.5000"
"69","0.1000","0.0000","0.0009","0.0064","0.1026","0.0000","0.0085","12.9004","0.0009","1.3941","69.5000"
"70","0.1062","0.0000","0.0011","0.0068","0.1091","0.0000","0.0092","12.2882","0.0010","1.3820","70.5000"
"71","0.1127","0.0000","0.0012","0.0073","0.1160","0.0000","0.0100","11.6972","0.0012","1.3715","71.5000"
"72","0.1193","0.0000","0.0014","0.0078","0.1231","0.0000","0.0109","11.1275","0.0013","1.3642","72.5000"
"73","0.1262","0.0000","0.0017","0.0084","0.1305","0.0000","0.0119","10.5776","0.0016","1.3609","73.5000"
"74","0.1331","0.0000","0.0019","0.0090","0.1382","0.0000","0.0130","10.0455","0.0018","1.3608","74.5000"
"75","0.1403","0.0000","0.0022","0.0096","0.1462","0.0000","0.0143","9.5296","0.0021","1.3623","75.5000"
"76","0.1477","0.0000","0.0026","0.0102","0.1544","0.0000","0.0156","9.0294","0.0024","1.3641","76.5000"
"77","0.1556","0.0000","0.0030","0.0108","0.1628","0.0000","0.0171","8.5456","0.0028","1.3645","77.5000"
"78","0.1638","0.0000","0.0035","0.0114","0.1713","0.0000","0.0188","8.0802","0.0032","1.3621","78.5000"
"79","0.1724","0.0000","0.0040","0.0119","0.1800","0.0000","0.0205","7.6364","0.0037","1.3566","79.5000"
"80","0.1811","0.0000","0.0046","0.0124","0.1886","0.0000","0.0224","7.2181","0.0042","1.3477","80.5000"
"81","0.1898","0.0000","0.0052","0.0129","0.1972","0.0000","0.0243","6.8303","0.0048","1.3356","81.5000"
