"DisMod II input and output, database QIMD 3 2011","","","","","","","","","","",""
"Females, Disease: CHD (Rates * ), sex: Females","","","","","","","","","","",""
"Written 05/12/2016, 22:57:35","","","","","","","","","","",""
"Age","Prevalence (rates)","Remission (rates)","Mortality (rates)","Incidence (rates)","Prevalence (rates)","Remission (rates)","Case fatality (rates)","Duration (years)","Mortality (rates)","RR mortality (number)","Age of onset (years)"
"0","0.0006","0.0000","0.0000","0.0000","0.0006","0.0000","0.0000","59.4693","0.0000","1.0003","0.5000"
"1","0.0005","0.0000","0.0000","0.0000","0.0006","0.0000","0.0000","58.6284","0.0000","1.0011","1.5000"
"2","0.0003","0.0000","0.0000","0.0000","0.0006","0.0001","0.0000","57.6951","0.0000","1.0101","2.5000"
"3","0.0001","0.0000","0.0000","0.0000","0.0006","0.0003","0.0000","56.7209","0.0000","1.0623","3.5000"
"4","0.0000","0.0000","0.0000","0.0000","0.0006","0.0005","0.0000","55.7468","0.0000","1.1788","4.5000"
"5","0.0000","0.0000","0.0000","0.0000","0.0006","0.0007","0.0000","54.7824","0.0000","1.3015","5.5000"
"6","0.0000","0.0000","0.0000","0.0000","0.0006","0.0009","0.0000","53.8297","0.0000","1.3698","6.5000"
"7","0.0001","0.0000","0.0000","0.0000","0.0006","0.0011","0.0000","52.8881","0.0000","1.3965","7.5000"
"8","0.0001","0.0000","0.0000","0.0000","0.0006","0.0013","0.0000","51.9552","0.0000","1.4290","8.5000"
"9","0.0001","0.0000","0.0000","0.0000","0.0006","0.0013","0.0000","51.0271","0.0000","1.4785","9.5000"
"10","0.0001","0.0000","0.0000","0.0000","0.0006","0.0013","0.0000","50.0987","0.0000","1.5441","10.5000"
"11","0.0001","0.0000","0.0000","0.0000","0.0006","0.0011","0.0001","49.1652","0.0000","1.6207","11.5000"
"12","0.0001","0.0000","0.0000","0.0000","0.0006","0.0009","0.0001","48.2234","0.0000","1.7035","12.5000"
"13","0.0001","0.0000","0.0000","0.0000","0.0006","0.0007","0.0001","47.2716","0.0000","1.7885","13.5000"
"14","0.0001","0.0000","0.0000","0.0000","0.0006","0.0005","0.0001","46.3095","0.0000","1.8732","14.5000"
"15","0.0001","0.0000","0.0000","0.0000","0.0006","0.0003","0.0001","45.3383","0.0000","1.9556","15.5000"
"16","0.0002","0.0000","0.0000","0.0000","0.0006","0.0002","0.0001","44.3604","0.0000","2.0602","16.5000"
"17","0.0002","0.0000","0.0000","0.0000","0.0006","0.0001","0.0002","43.3790","0.0000","2.3064","17.5000"
"18","0.0002","0.0000","0.0000","0.0000","0.0006","0.0000","0.0003","42.3975","0.0000","2.8126","18.5000"
"19","0.0002","0.0000","0.0000","0.0000","0.0006","0.0000","0.0004","41.4196","0.0000","3.6715","19.5000"
"20","0.0002","0.0000","0.0000","0.0000","0.0006","0.0000","0.0007","40.4491","0.0000","4.9517","20.5000"
"21","0.0002","0.0000","0.0000","0.0000","0.0006","0.0000","0.0010","39.4901","0.0000","6.6980","21.5000"
"22","0.0002","0.0000","0.0000","0.0000","0.0006","0.0000","0.0015","38.5465","0.0000","8.8635","22.5000"
"23","0.0002","0.0000","0.0000","0.0000","0.0006","0.0000","0.0020","37.6210","0.0000","11.1419","23.5000"
"24","0.0002","0.0000","0.0000","0.0000","0.0006","0.0000","0.0026","36.7146","0.0000","13.2281","24.5000"
"25","0.0003","0.0000","0.0000","0.0000","0.0006","0.0000","0.0031","35.8261","0.0000","14.8890","25.5000"
"26","0.0003","0.0000","0.0000","0.0000","0.0006","0.0000","0.0036","34.9525","0.0000","15.9547","26.5000"
"27","0.0003","0.0000","0.0000","0.0000","0.0006","0.0000","0.0039","34.0894","0.0000","16.3089","27.5000"
"28","0.0003","0.0000","0.0000","0.0000","0.0006","0.0000","0.0040","33.2313","0.0000","16.0117","28.5000"
"29","0.0003","0.0000","0.0000","0.0000","0.0006","0.0000","0.0042","32.3752","0.0000","15.6292","29.5000"
"30","0.0003","0.0000","0.0000","0.0000","0.0006","0.0000","0.0045","31.5233","0.0000","15.7174","30.5000"
"31","0.0003","0.0000","0.0000","0.0000","0.0006","0.0000","0.0052","30.6834","0.0000","16.6710","31.5000"
"32","0.0003","0.0000","0.0000","0.0000","0.0006","0.0000","0.0063","29.8678","0.0000","18.7062","32.5000"
"33","0.0003","0.0000","0.0000","0.0000","0.0006","0.0000","0.0082","29.0935","0.0000","21.8611","33.5000"
"34","0.0003","0.0000","0.0000","0.0000","0.0006","0.0000","0.0109","28.3804","0.0000","25.9619","34.5000"
"35","0.0004","0.0000","0.0000","0.0000","0.0006","0.0000","0.0144","27.7478","0.0000","30.3765","35.5000"
"36","0.0004","0.0000","0.0000","0.0000","0.0006","0.0000","0.0184","27.2110","0.0000","34.6016","36.5000"
"37","0.0004","0.0000","0.0000","0.0000","0.0006","0.0000","0.0228","26.7808","0.0000","38.3882","37.5000"
"38","0.0003","0.0000","0.0000","0.0000","0.0006","0.0000","0.0274","26.4650","0.0000","41.6512","38.5000"
"39","0.0003","0.0000","0.0000","0.0000","0.0007","0.0000","0.0322","26.2685","0.0000","44.2878","39.5000"
"40","0.0003","0.0000","0.0000","0.0000","0.0007","0.0000","0.0368","26.1933","0.0000","46.1667","40.5000"
"41","0.0003","0.0000","0.0000","0.0001","0.0007","0.0000","0.0411","26.2362","0.0000","47.0460","41.5000"
"42","0.0004","0.0000","0.0001","0.0001","0.0007","0.0000","0.0446","26.3867","0.0000","46.7315","42.5000"
"43","0.0006","0.0000","0.0001","0.0001","0.0008","0.0000","0.0469","26.6249","0.0000","45.1122","43.5000"
"44","0.0009","0.0000","0.0001","0.0002","0.0010","0.0000","0.0477","26.9206","0.0000","42.1647","44.5000"
