age,condition,mean,se
76,chd_exclusive,0.778,0.038
77,chd_exclusive,0.778,0.038
78,chd_exclusive,0.778,0.038
79,chd_exclusive,0.778,0.038
80,chd_exclusive,0.778,0.038
81,chd_exclusive,0.778,0.038
82,chd_exclusive,0.778,0.038
83,chd_exclusive,0.778,0.038
84,chd_exclusive,0.778,0.038
85,chd_exclusive,0.778,0.038
86,chd_exclusive,0.778,0.038
87,chd_exclusive,0.778,0.038
88,chd_exclusive,0.778,0.038
89,chd_exclusive,0.778,0.038
90,chd_exclusive,0.778,0.038
91,chd_exclusive,0.778,0.038
92,chd_exclusive,0.778,0.038
93,chd_exclusive,0.778,0.038
94,chd_exclusive,0.778,0.038
95,chd_exclusive,0.778,0.038
96,chd_exclusive,0.778,0.038
97,chd_exclusive,0.778,0.038
98,chd_exclusive,0.778,0.038
99,chd_exclusive,0.778,0.038
100,chd_exclusive,0.778,0.038
0,stroke_exclusive,0.629,0.04
1,stroke_exclusive,0.629,0.04
2,stroke_exclusive,0.629,0.04
3,stroke_exclusive,0.629,0.04
4,stroke_exclusive,0.629,0.04
5,stroke_exclusive,0.629,0.04
6,stroke_exclusive,0.629,0.04
7,stroke_exclusive,0.629,0.04
8,stroke_exclusive,0.629,0.04
9,stroke_exclusive,0.629,0.04
10,stroke_exclusive,0.629,0.04
11,stroke_exclusive,0.629,0.04
12,stroke_exclusive,0.629,0.04
13,stroke_exclusive,0.629,0.04
14,stroke_exclusive,0.629,0.04
15,stroke_exclusive,0.629,0.04
16,stroke_exclusive,0.629,0.04
17,stroke_exclusive,0.629,0.04
18,stroke_exclusive,0.629,0.04
19,stroke_exclusive,0.629,0.04
20,stroke_exclusive,0.629,0.04
21,stroke_exclusive,0.629,0.04
22,stroke_exclusive,0.629,0.04
23,stroke_exclusive,0.629,0.04
24,stroke_exclusive,0.629,0.04
25,stroke_exclusive,0.629,0.04
26,stroke_exclusive,0.629,0.04
27,stroke_exclusive,0.629,0.04
28,stroke_exclusive,0.629,0.04
29,stroke_exclusive,0.629,0.04
30,stroke_exclusive,0.629,0.04
31,stroke_exclusive,0.629,0.04
32,stroke_exclusive,0.629,0.04
33,stroke_exclusive,0.629,0.04
34,stroke_exclusive,0.629,0.04
35,stroke_exclusive,0.629,0.04
36,stroke_exclusive,0.629,0.04
37,stroke_exclusive,0.629,0.04
38,stroke_exclusive,0.629,0.04
39,stroke_exclusive,0.629,0.04
40,stroke_exclusive,0.629,0.04
41,stroke_exclusive,0.629,0.04
42,stroke_exclusive,0.629,0.04
43,stroke_exclusive,0.629,0.04
44,stroke_exclusive,0.629,0.04
45,stroke_exclusive,0.629,0.04
46,stroke_exclusive,0.629,0.04
47,stroke_exclusive,0.629,0.04
48,stroke_exclusive,0.629,0.04
49,stroke_exclusive,0.629,0.04
50,stroke_exclusive,0.629,0.04
51,stroke_exclusive,0.629,0.04
52,stroke_exclusive,0.629,0.04
53,stroke_exclusive,0.629,0.04
54,stroke_exclusive,0.629,0.04
55,stroke_exclusive,0.629,0.04
56,stroke_exclusive,0.629,0.04
57,stroke_exclusive,0.629,0.04
58,stroke_exclusive,0.629,0.04
59,stroke_exclusive,0.629,0.04
60,stroke_exclusive,0.629,0.04
61,stroke_exclusive,0.629,0.04
62,stroke_exclusive,0.629,0.04
63,stroke_exclusive,0.629,0.04
64,stroke_exclusive,0.629,0.04
65,stroke_exclusive,0.629,0.04
66,stroke_exclusive,0.629,0.04
67,stroke_exclusive,0.629,0.04
68,stroke_exclusive,0.629,0.04
69,stroke_exclusive,0.629,0.04
70,stroke_exclusive,0.629,0.04
71,stroke_exclusive,0.629,0.04
72,stroke_exclusive,0.629,0.04
73,stroke_exclusive,0.629,0.04
74,stroke_exclusive,0.629,0.04
75,stroke_exclusive,0.629,0.04
76,stroke_exclusive,0.629,0.04
77,stroke_exclusive,0.629,0.04
78,stroke_exclusive,0.629,0.04
79,stroke_exclusive,0.629,0.04
80,stroke_exclusive,0.629,0.04
81,stroke_exclusive,0.629,0.04
82,stroke_exclusive,0.629,0.04
83,stroke_exclusive,0.629,0.04
84,stroke_exclusive,0.629,0.04
85,stroke_exclusive,0.629,0.04
86,stroke_exclusive,0.629,0.04
87,stroke_exclusive,0.629,0.04
88,stroke_exclusive,0.629,0.04
89,stroke_exclusive,0.629,0.04
90,stroke_exclusive,0.629,0.04
91,stroke_exclusive,0.629,0.04
92,stroke_exclusive,0.629,0.04
93,stroke_exclusive,0.629,0.04
94,stroke_exclusive,0.629,0.04
95,stroke_exclusive,0.629,0.04
96,stroke_exclusive,0.629,0.04
97,stroke_exclusive,0.629,0.04
98,stroke_exclusive,0.629,0.04
99,stroke_exclusive,0.629,0.04
100,stroke_exclusive,0.629,0.04
0,htn_exclusive,1,0
1,htn_exclusive,1,0
2,htn_exclusive,1,0
3,htn_exclusive,1,0
4,htn_exclusive,1,0
5,htn_exclusive,1,0
6,htn_exclusive,1,0
7,htn_exclusive,1,0
8,htn_exclusive,1,0
9,htn_exclusive,1,0
10,htn_exclusive,1,0
11,htn_exclusive,1,0
12,htn_exclusive,1,0
13,htn_exclusive,1,0
14,htn_exclusive,1,0
15,htn_exclusive,1,0
16,htn_exclusive,1,0
17,htn_exclusive,1,0
18,htn_exclusive,1,0
19,htn_exclusive,1,0
20,htn_exclusive,1,0
21,htn_exclusive,1,0
22,htn_exclusive,1,0
23,htn_exclusive,1,0
24,htn_exclusive,1,0
25,htn_exclusive,1,0
26,htn_exclusive,1,0
27,htn_exclusive,1,0
28,htn_exclusive,1,0
29,htn_exclusive,1,0
30,htn_exclusive,1,0
31,htn_exclusive,1,0
32,htn_exclusive,1,0
33,htn_exclusive,1,0
34,htn_exclusive,1,0
35,htn_exclusive,1,0
36,htn_exclusive,1,0
37,htn_exclusive,1,0
38,htn_exclusive,1,0
39,htn_exclusive,1,0
40,htn_exclusive,1,0
41,htn_exclusive,1,0
42,htn_exclusive,1,0
43,htn_exclusive,1,0
44,htn_exclusive,1,0
45,htn_exclusive,1,0
46,htn_exclusive,1,0
47,htn_exclusive,1,0
48,htn_exclusive,1,0
49,htn_exclusive,1,0
50,htn_exclusive,1,0
51,htn_exclusive,1,0
52,htn_exclusive,1,0
53,htn_exclusive,1,0
54,htn_exclusive,1,0
55,htn_exclusive,1,0
56,htn_exclusive,1,0
57,htn_exclusive,1,0
58,htn_exclusive,1,0
59,htn_exclusive,1,0
60,htn_exclusive,1,0
61,htn_exclusive,1,0
62,htn_exclusive,1,0
63,htn_exclusive,1,0
64,htn_exclusive,1,0
65,htn_exclusive,1,0
66,htn_exclusive,1,0
67,htn_exclusive,1,0
68,htn_exclusive,1,0
69,htn_exclusive,1,0
70,htn_exclusive,1,0
71,htn_exclusive,1,0
72,htn_exclusive,1,0
73,htn_exclusive,1,0
74,htn_exclusive,1,0
75,htn_exclusive,1,0
76,htn_exclusive,1,0
77,htn_exclusive,1,0
78,htn_exclusive,1,0
79,htn_exclusive,1,0
80,htn_exclusive,1,0
81,htn_exclusive,1,0
82,htn_exclusive,1,0
83,htn_exclusive,1,0
84,htn_exclusive,1,0
85,htn_exclusive,1,0
86,htn_exclusive,1,0
87,htn_exclusive,1,0
88,htn_exclusive,1,0
89,htn_exclusive,1,0
90,htn_exclusive,1,0
91,htn_exclusive,1,0
92,htn_exclusive,1,0
93,htn_exclusive,1,0
94,htn_exclusive,1,0
95,htn_exclusive,1,0
96,htn_exclusive,1,0
97,htn_exclusive,1,0
98,htn_exclusive,1,0
99,htn_exclusive,1,0
100,htn_exclusive,1,0
0,diabetes_exclusive,0.901,0.035
1,diabetes_exclusive,0.901,0.035
2,diabetes_exclusive,0.901,0.035
3,diabetes_exclusive,0.901,0.035
4,diabetes_exclusive,0.901,0.035
5,diabetes_exclusive,0.901,0.035
6,diabetes_exclusive,0.901,0.035
7,diabetes_exclusive,0.901,0.035
8,diabetes_exclusive,0.901,0.035
9,diabetes_exclusive,0.901,0.035
10,diabetes_exclusive,0.901,0.035
11,diabetes_exclusive,0.901,0.035
12,diabetes_exclusive,0.901,0.035
13,diabetes_exclusive,0.901,0.035
14,diabetes_exclusive,0.901,0.035
15,diabetes_exclusive,0.901,0.035
16,diabetes_exclusive,0.901,0.035
17,diabetes_exclusive,0.901,0.035
18,diabetes_exclusive,0.901,0.035
19,diabetes_exclusive,0.901,0.035
20,diabetes_exclusive,0.901,0.035
21,diabetes_exclusive,0.901,0.035
22,diabetes_exclusive,0.901,0.035
23,diabetes_exclusive,0.901,0.035
24,diabetes_exclusive,0.901,0.035
25,diabetes_exclusive,0.901,0.035
26,diabetes_exclusive,0.901,0.035
27,diabetes_exclusive,0.901,0.035
28,diabetes_exclusive,0.901,0.035
29,diabetes_exclusive,0.901,0.035
30,diabetes_exclusive,0.901,0.035
31,diabetes_exclusive,0.901,0.035
32,diabetes_exclusive,0.901,0.035
33,diabetes_exclusive,0.901,0.035
34,diabetes_exclusive,0.901,0.035
35,diabetes_exclusive,0.901,0.035
36,diabetes_exclusive,0.901,0.035
37,diabetes_exclusive,0.901,0.035
38,diabetes_exclusive,0.901,0.035
39,diabetes_exclusive,0.901,0.035
40,diabetes_exclusive,0.901,0.035
41,diabetes_exclusive,0.901,0.035
42,diabetes_exclusive,0.901,0.035
43,diabetes_exclusive,0.901,0.035
44,diabetes_exclusive,0.901,0.035
45,diabetes_exclusive,0.901,0.035
46,diabetes_exclusive,0.901,0.035
47,diabetes_exclusive,0.901,0.035
48,diabetes_exclusive,0.901,0.035
49,diabetes_exclusive,0.901,0.035
50,diabetes_exclusive,0.901,0.035
51,diabetes_exclusive,0.901,0.035
52,diabetes_exclusive,0.901,0.035
53,diabetes_exclusive,0.901,0.035
54,diabetes_exclusive,0.901,0.035
55,diabetes_exclusive,0.901,0.035
56,diabetes_exclusive,0.901,0.035
57,diabetes_exclusive,0.901,0.035
58,diabetes_exclusive,0.901,0.035
59,diabetes_exclusive,0.901,0.035
60,diabetes_exclusive,0.901,0.035
61,diabetes_exclusive,0.901,0.035
62,diabetes_exclusive,0.901,0.035
63,diabetes_exclusive,0.901,0.035
64,diabetes_exclusive,0.901,0.035
65,diabetes_exclusive,0.901,0.035
66,diabetes_exclusive,0.901,0.035
67,diabetes_exclusive,0.901,0.035
68,diabetes_exclusive,0.901,0.035
69,diabetes_exclusive,0.901,0.035
70,diabetes_exclusive,0.901,0.035
71,diabetes_exclusive,0.901,0.035
72,diabetes_exclusive,0.901,0.035
73,diabetes_exclusive,0.901,0.035
74,diabetes_exclusive,0.901,0.035
75,diabetes_exclusive,0.901,0.035
76,diabetes_exclusive,0.901,0.035
77,diabetes_exclusive,0.901,0.035
78,diabetes_exclusive,0.901,0.035
79,diabetes_exclusive,0.901,0.035
80,diabetes_exclusive,0.901,0.035
81,diabetes_exclusive,0.901,0.035
82,diabetes_exclusive,0.901,0.035
83,diabetes_exclusive,0.901,0.035
84,diabetes_exclusive,0.901,0.035
85,diabetes_exclusive,0.901,0.035
86,diabetes_exclusive,0.901,0.035
87,diabetes_exclusive,0.901,0.035
88,diabetes_exclusive,0.901,0.035
89,diabetes_exclusive,0.901,0.035
90,diabetes_exclusive,0.901,0.035
91,diabetes_exclusive,0.901,0.035
92,diabetes_exclusive,0.901,0.035
93,diabetes_exclusive,0.901,0.035
94,diabetes_exclusive,0.901,0.035
95,diabetes_exclusive,0.901,0.035
96,diabetes_exclusive,0.901,0.035
97,diabetes_exclusive,0.901,0.035
98,diabetes_exclusive,0.901,0.035
99,diabetes_exclusive,0.901,0.035
100,diabetes_exclusive,0.901,0.035
