qimd,sex,pct_reduc,lui,uui
1,1,0.097061861,0.049091,0.20993475
2,1,0.117195109,0.066565,0.199625479
3,1,0.137398902,0.076783,0.195519517
4,1,0.149002337,0.082493,0.19992287
5,1,0.186702808,0.08669,0.203036747
1,2,0.097061956,0.040803,0.21699464
2,2,0.117195169,0.059858,0.204546272
3,2,0.137399059,0.070348,0.201905225
4,2,0.149002226,0.077152,0.20488666
5,2,0.186702883,0.08163,0.207965718
