year,agegroup,sex,qimd,max,min,mid
2016,20-24,1,1,-0.0805192654252949,-0.327147981598642,-0.111035979275997
2016,20-24,1,2,-0.0794434050003048,-0.297706381757081,-0.122039869470754
2016,20-24,1,3,-0.0172239372240597,-0.414033594744978,-0.128159041207311
2016,20-24,1,4,0,-0.395622513200308,-0.0979450968585809
2016,20-24,1,5,0,-0.380267818956554,-0.124595834301672
2016,20-24,2,1,-0.0357824928012604,-0.287322212761723,-0.0917103162412189
2016,20-24,2,2,-0.0174938724196494,-0.213906279408263,-0.0953810455585113
2016,20-24,2,3,0,-0.183319665277494,-0.0715960988751618
2016,20-24,2,4,-0.034005638371255,-0.192182174940271,-0.0864409933719657
2016,20-24,2,5,0,-0.207212144390041,-0.0983872497616858
2016,25-29,1,1,-0.0805192654252949,-0.327147981598642,-0.111035979275997
2016,25-29,1,2,-0.0794434050003048,-0.297706381757081,-0.122039869470754
2016,25-29,1,3,-0.0172239372240597,-0.414033594744978,-0.128159041207311
2016,25-29,1,4,0,-0.395622513200308,-0.0979450968585809
2016,25-29,1,5,0,-0.380267818956554,-0.124595834301672
2016,25-29,2,1,-0.0357824928012604,-0.287322212761723,-0.0917103162412189
2016,25-29,2,2,-0.0174938724196494,-0.213906279408263,-0.0953810455585113
2016,25-29,2,3,0,-0.183319665277494,-0.0715960988751618
2016,25-29,2,4,-0.034005638371255,-0.192182174940271,-0.0864409933719657
2016,25-29,2,5,0,-0.207212144390041,-0.0983872497616858
2016,30-34,1,1,-0.0805192654252949,-0.327147981598642,-0.111035979275997
2016,30-34,1,2,-0.0794434050003048,-0.297706381757081,-0.122039869470754
2016,30-34,1,3,-0.0172239372240597,-0.414033594744978,-0.128159041207311
2016,30-34,1,4,0,-0.395622513200308,-0.0979450968585809
2016,30-34,1,5,0,-0.380267818956554,-0.124595834301672
2016,30-34,2,1,-0.0357824928012604,-0.287322212761723,-0.0917103162412189
2016,30-34,2,2,-0.0174938724196494,-0.213906279408263,-0.0953810455585113
2016,30-34,2,3,0,-0.183319665277494,-0.0715960988751618
2016,30-34,2,4,-0.034005638371255,-0.192182174940271,-0.0864409933719657
2016,30-34,2,5,0,-0.207212144390041,-0.0983872497616858
2016,35-39,1,1,-0.0396869157529949,-0.387464567994115,-0.140579235336432
2016,35-39,1,2,-0.0196507161248007,-0.378836918937381,-0.142683046864704
2016,35-39,1,3,0,-0.496699896412196,-0.154426150383003
2016,35-39,1,4,-0.0459021497304519,-0.438229014662937,-0.155143441926484
2016,35-39,1,5,-0.109040274971818,-0.412919260190776,-0.156950975318694
2016,35-39,2,1,-0.0407929553345099,-0.164674563121721,-0.125558672029598
2016,35-39,2,2,-0.059141509159943,-0.208400195892779,-0.115689500695424
2016,35-39,2,3,-0.0478482266025679,-0.180661040222248,-0.130673883324505
2016,35-39,2,4,-0.123899596786728,-0.209408953690129,-0.124520384346653
2016,35-39,2,5,-0.00326314455961096,-0.153957131951003,-0.124569921117043
2016,40-44,1,1,-0.0634000190210173,-0.479008597980993,-0.18087013739401
2016,40-44,1,2,-0.0678612537715111,-0.325588101000179,-0.177082964503853
2016,40-44,1,3,-0.104964614127965,-0.37350177454212,-0.193997757466903
2016,40-44,1,4,-0.0261762562143275,-0.406365942006573,-0.180720299262347
2016,40-44,1,5,-0.157254421619911,-0.368356191667289,-0.174657259097813
2016,40-44,2,1,-0.114491441558542,-0.200238761501851,-0.152976182734463
2016,40-44,2,2,-0.0963075130768232,-0.133868110455509,-0.106989760169128
2016,40-44,2,3,-0.130029232036762,-0.206142324749962,-0.167067146094794
2016,40-44,2,4,-0.087702637437701,-0.12503694159426,-0.113511650454598
2016,40-44,2,5,-0.111736095307634,-0.135885950186307,-0.122919126659568
2016,45-49,1,1,-0.0877777883258801,-0.280359562003028,-0.196049561583038
2016,45-49,1,2,-0.0962394213960636,-0.329600974207921,-0.197614111542634
2016,45-49,1,3,-0.103278680986051,-0.360892764247552,-0.216754782235839
2016,45-49,1,4,-0.116535110989204,-0.41339483640644,-0.214212618648517
2016,45-49,1,5,-0.158960586920813,-0.333525169112463,-0.221804395937653
2016,45-49,2,1,-0.136351354835341,-0.16603449066362,-0.164349838837992
2016,45-49,2,2,-0.0794428155736995,-0.218768106958208,-0.145820915187855
2016,45-49,2,3,-0.137530699006533,-0.289250617407021,-0.175987463058249
2016,45-49,2,4,-0.0614943875937115,-0.230018484875316,-0.151908387004625
2016,45-49,2,5,-0.046058975467659,-0.163218409973467,-0.128814281640359
2016,50-54,1,1,-0.167751849189088,-0.501154796058913,-0.251946307039773
2016,50-54,1,2,-0.145304755019467,-0.382519292352455,-0.257623175654985
2016,50-54,1,3,-0.230186640091105,-0.255592487153947,-0.23382782223392
2016,50-54,1,4,-0.157477576965718,-0.366262806030676,-0.244460538407765
2016,50-54,1,5,-0.217750790800224,-0.296252861652746,-0.258126402514193
2016,50-54,2,1,-0.112867477204645,-0.171795605655745,-0.150932293357613
2016,50-54,2,2,-0.160282302893975,-0.271307736851711,-0.203400546565405
2016,50-54,2,3,-0.119488037426223,-0.182379582664808,-0.142210337872982
2016,50-54,2,4,-0.0629840087965476,-0.232457916811242,-0.164249903563643
2016,50-54,2,5,-0.1284002570588,-0.284455683869041,-0.187162075124704
2016,55-59,1,1,-0.170646087073436,-0.440811951433602,-0.261502748390782
2016,55-59,1,2,-0.18677571134711,-0.326461265641711,-0.270561212159151
2016,55-59,1,3,-0.225024427478644,-0.464719911734534,-0.260789458792061
2016,55-59,1,4,-0.243116996149979,-0.420245518722439,-0.252437273927228
2016,55-59,1,5,-0.263914726126188,-0.425570500796638,-0.34394564953692
2016,55-59,2,1,-0.131699179886127,-0.190199678406287,-0.151158453919038
2016,55-59,2,2,-0.0635607115133183,-0.19696449756421,-0.174057917836521
2016,55-59,2,3,-0.142756827972732,-0.286325080331196,-0.166426701633455
2016,55-59,2,4,-0.0122262102041333,-0.203114091961567,-0.143620087944598
2016,55-59,2,5,-0.118428644789219,-0.236861387130176,-0.203823875553397
2016,60-64,1,1,-0.203254721325976,-0.414379060025837,-0.294955329193783
2016,60-64,1,2,-0.165755360394115,-0.407244891588334,-0.246646842400395
2016,60-64,1,3,-0.100804531266476,-0.423628921084685,-0.276807572212277
2016,60-64,1,4,-0.198995132164157,-0.423782969337736,-0.321316129129656
2016,60-64,1,5,-0.110653983372288,-0.446796605482518,-0.266159577045954
2016,60-64,2,1,-0.128284846041083,-0.199244282511756,-0.198655141109882
2016,60-64,2,2,-0.182971400039307,-0.242880339067995,-0.203846163490326
2016,60-64,2,3,-0.193705257435511,-0.201080237978218,-0.196196476117933
2016,60-64,2,4,-0.209416805694801,-0.214378178971046,-0.210526075449351
